,0
HP:0000118 | Phenotypic abnormality,1
HP:0006285 | Enamel hypomineralization,1
HP:0009722 | Dental enamel pits,1
HP:0009195 | Epiphyseal stippling of the metacarpals,3
HP:0010171 | Epiphyseal stippling of toe phalanges,2
HP:0003902 | Epiphyseal stippling of the humerus,2
HP:0010237 | Epiphyseal stippling of finger phalanges,3
HP:0006370 | Distal ulnar epiphyseal stippling,2
HP:0004695 | Calcaneal epiphyseal stippling,1
HP:0005756 | Neonatal epiphyseal stippling,1
HP:0006600 | Progressive calcification of costochondral cartilage,2
HP:0006646 | Costal cartilage calcification,2
HP:0005103 | Calcification of the auricular cartilage,2
HP:0002764 | Stippled chondral calcification,2
HP:0004240 | Sclerotic foci within carpal bones,2
HP:0004234 | Bone-in-a-bone appearance of carpal bones,2
HP:0004241 | Stippled calcification in carpal bones,2
HP:0006619 | Anterior rib punctate calcifications,2
HP:0002461 | Dense calcifications in the cerebellar dentate nucleus,2
HP:0007229 | Intracerebral periventricular calcifications,1
HP:0034293 | Temporal lobe calcification,1
HP:0005462 | Calcification of falx cerebri,2
HP:0006906 | Congenital intracerebral calcification,1
HP:0007045 | Midline brain calcifications,1
HP:0002135 | Basal ganglia calcification,2
HP:0006960 | Choroid plexus calcification,2
HP:0100250 | Meningeal calcification,2
HP:0007346 | Subcortical white matter calcifications,2
HP:0005671 | Bilateral intracerebral calcifications,1
HP:0010513 | Pituitary calcification,2
HP:0005849 | Diffuse cerebral calcification,1
HP:0007238 | Nonarteriosclerotic cerebral calcification,1
HP:0011729 | Abnormality of joint mobility,1
HP:0033129 | Abnormal shoulder physiology,1
HP:0034431 | Joint crepitus,1
HP:0005855 | Multiple prenatal fractures,1
HP:0002757 | Recurrent fractures,1
HP:0002756 | Pathologic fracture,1
HP:0003023 | Bowing of limbs due to multiple fractures,1
HP:0002661 | Painless fractures due to injury,2
HP:0007626 | Mandibular osteomyelitis,2
HP:0005661 | Salmonella osteomyelitis,1
HP:0005010 | Osteomyelitis leading to amputation due to slow healing fractures,1
HP:0200000 | Dysharmonic bone age,1
HP:0002750 | Delayed skeletal maturation,1
HP:0005616 | Accelerated skeletal maturation,1
HP:0100323 | Juvenile aseptic necrosis,1
HP:0008442 | Vertebral hyperostosis,2
HP:0004437 | Cranial hyperostosis,2
HP:0041146 | Fractured coccyx,2
HP:0041166 | Fractured vertebra,2
HP:0041172 | Fractured fused sacrum,2
HP:0041220 | Fractured facial bone,2
HP:0003961 | Fractured forearm bones,2
HP:0041233 | Fractured ilium,3
HP:0041244 | Fractured scapula,2
HP:0003084 | Fractures of the long bones,3
HP:0004277 | Fractured hand bones,2
HP:0041145 | Fractured acetabular part of hip bone,2
HP:0005701 | Multiple enchondromatosis,2
HP:0008271 | Abnormal cartilage collagen,1
HP:3000034 | Abnormality nasal septum cartilage morphology,3
HP:0032929 | Abnormal chondrocyte morphology,1
HP:0100773 | Cartilage destruction,1
HP:0008178 | Abnormal cartilage matrix,1
HP:3000038 | Abnormal cricoid cartilage morphology,2
HP:0010939 | Abnormal nasal bone morphology,1
HP:0032153 | Joint subluxation,1
HP:0040188 | Osteochondrosis,2
HP:0003040 | Arthropathy,1
HP:0001059 | Pterygium,2
HP:0001369 | Arthritis,1
HP:0005187 | Progressive joint destruction,1
HP:0001373 | Joint dislocation,1
HP:3000079 | Abnormal mandibular symphysis morphology,2
HP:0003037 | Enlarged joints,1
HP:0020127 | Periarticular soft-tissue mass,1
HP:0005262 | Abnormality of the synovia,1
HP:0100240 | Synostosis of joints,2
HP:0100781 | Abnormal sacroiliac joint morphology,3
HP:0009122 | Aplasia/hypoplasia affecting bones of the axial skeleton,2
HP:0000925 | Abnormality of the vertebral column,1
HP:0000765 | Abnormal thorax morphology,1
HP:0009144 | Supernumerary bones of the axial skeleton,1
HP:0002644 | Abnormal pelvic girdle bone morphology,1
HP:0003043 | Abnormal shoulder morphology,2
HP:0011314 | Abnormal long bone morphology,1
HP:0030313 | Abnormal periosteum morphology,1
HP:0010734 | Fibrous dysplasia of the bones,1
HP:0012062 | Bone cyst,1
HP:0034159 | Paget disease of bone,1
HP:0003103 | Abnormal cortical bone morphology,1
HP:0011862 | Abnormal bone collagen fibril morphology,1
HP:0006446 | Dysplastic patella,2
HP:0011849 | Abnormal bone ossification,1
HP:0030327 | Abnormal osteoclast count,1
HP:0100671 | Abnormal trabecular bone morphology,1
HP:0002797 | Osteolysis,1
HP:0003976 | Constricted radius,2
HP:0006433 | Radial dysplasia,2
HP:0032201 | Rotator cuff tear,2
HP:0032523 | Tendon thickening,1
HP:0010874 | Tendon xanthomatosis,2
HP:0025230 | Tendonitis,1
HP:0100550 | Tendon rupture,1
HP:0012276 | Digital flexor tenosynovitis,1
HP:0025369 | Thick growth plates,1
HP:0002656 | Epiphyseal dysplasia,2
HP:0002651 | Spondyloepimetaphyseal dysplasia,1
HP:0002654 | Multiple epiphyseal dysplasia,1
HP:0100252 | Diaphyseal dysplasia,2
HP:0005775 | Multiple skeletal anomalies,1
HP:0100255 | Metaphyseal dysplasia,2
HP:0002655 | Spondyloepiphyseal dysplasia,1
HP:0002657 | Spondylometaphyseal dysplasia,1
HP:0005716 | Lethal skeletal dysplasia,1
HP:0025232 | Bursitis,1
HP:0500092 | Orbital rhabdomyosarcoma,1
HP:0006779 | Alveolar rhabdomyosarcoma,1
HP:0004661 | Frontalis muscle weakness,2
HP:0034509 | Spheroid bodies,1
HP:0025717 | Skeletal muscle autophagosome accumulation,1
HP:0020201 | Abnormal sarcomere morphology,1
HP:0100305 | Ring fibers,1
HP:0012084 | Abnormality of skeletal muscle fiber size,1
HP:0100296 | Perifascicular muscle fiber atrophy,1
HP:0031238 | Necklace skeletal muscle fibers,1
HP:0033684 | Abnormal muscle fiber-type distribution,1
HP:0003713 | Muscle fiber necrosis,1
HP:0034508 | Fingerprint bodies,1
HP:0003687 | Centrally nucleated skeletal muscle fibers,1
HP:0003805 | Rimmed vacuoles,1
HP:0034045 | Angulated muscle fibers,1
HP:0100295 | Muscle fiber atrophy,1
HP:0100293 | Hypertrophied muscle fibers,1
HP:0003200 | Ragged-red muscle fibers,1
HP:0030230 | Central core regions in muscle fibers,1
HP:0030089 | Abnormal muscle fiber protein expression,1
HP:0003555 | Muscle fiber splitting,1
HP:0100298 | Motheaten muscle fibers,1
HP:0100299 | Muscle fiber inclusion bodies,1
HP:0100297 | Increased endomysial connective tissue,1
HP:0003791 | Deposits immunoreactive to beta-amyloid protein,1
HP:0003736 | Autophagic vacuoles,1
HP:0031542 | Myelin-like whorls in vacuolated fibers,1
HP:0009045 | Exercise-induced rhabdomyolysis,1
HP:0011439 | Anesthetic-induced rhabdomylosis,1
HP:0003558 | Viral infection-induced rhabdomyolysis,1
HP:0008942 | Acute rhabdomyolysis,1
HP:0011440 | Alcohol-induced rhabdomyolysis,1
HP:3000069 | Abnormality of lateral rectus extra-ocular muscle,1
HP:3000072 | Abnormal levator palpebrae superioris morphology,2
HP:0007647 | Congenital extraocular muscle anomaly,1
HP:0007886 | Absent extraocular muscles,1
HP:0001491 | Congenital fibrosis of extraocular muscles,1
HP:3000057 | Abnormality of inferior oblique extraocular muscle,1
HP:0012242 | Superior rectus atrophy,1
HP:3000058 | Abnormality of inferior rectus extraocular muscle,1
HP:0000297 | Facial hypotonia,2
HP:3000008 | Abnormality of mylohyoid muscle,3
HP:0012892 | Facial muscle hypertrophy,2
HP:0030319 | Weakness of facial musculature,1
HP:0000317 | Facial myokymia,2
HP:0045037 | Abnormality of jaw muscles,1
HP:0430018 | Abnormality of nasal musculature,1
HP:0430019 | Abnormality of muscle of facial expression,1
HP:0002491 | Spasticity of facial muscles,2
HP:0004660 | Hypoplasia of facial musculature,1
HP:0000338 | Hypomimic face,2
HP:0009110 | Diaphragmatic eventration,1
HP:0010315 | Aplasia/Hypoplasia of the diaphragm,1
HP:0009109 | Denervation of the diaphragm,1
HP:0040045 | Abnormal hemidiaphragm morphology,1
HP:0009011 | Hypoplasia of serratus anterior muscle,1
HP:0011957 | Abnormal pectoral muscle morphology,1
HP:0009026 | Hypoplasia of latissimus dorsi muscle,1
HP:0006921 | Axial muscle stiffness,2
HP:0040287 | Axial muscle atrophy,1
HP:0003202 | Skeletal muscle atrophy,1
HP:0003712 | Skeletal muscle hypertrophy,1
HP:0001460 | Aplasia/Hypoplasia involving the skeletal musculature,1
HP:0430017 | Abnormality of uvular muscle,2
HP:3000012 | Abnormality of palatopharyngeus muscle,2
HP:3000011 | Abnormality of palatoglossus muscle,2
HP:0430016 | Abnormality of tensor veli palatini muscle,1
HP:3000073 | Abnormality of levator veli palatini muscle,1
HP:0034511 | Reduced muscle aconitase activity,1
HP:0001471 | Aplasia/Hypoplasia of the musculature of the pelvis,1
HP:0001445 | Abnormality of the hip-girdle musculature,1
HP:0001443 | Abnormality of the gluteal musculature,1
HP:0008978 | Necrotizing myopathy,1
HP:0003756 | Skeletal myopathy,1
HP:0003715 | Myofibrillar myopathy,1
HP:0003458 | EMG: myopathic abnormalities,2
HP:0009071 | Inflammatory myopathy,1
HP:0003789 | Minicore myopathy,1
HP:0040174 | Abnormality of extrinsic muscle of tongue,1
HP:3000064 | Abnormality of intrinsic muscle of tongue,1
HP:0034342 | Trapezius muscle aplasia,1
HP:0005988 | Congenital muscular torticollis,1
HP:0012893 | Neck muscle hypertrophy,2
HP:3000046 | Abnormal geniohyoid muscle morphology,1
HP:0007081 | Late-onset muscular dystrophy,1
HP:0003741 | Congenital muscular dystrophy,1
HP:0008970 | Scapulohumeral muscular dystrophy,1
HP:0009020 | Exercise-induced muscle fatigue,1
HP:0012900 | Myotonia of the face,1
HP:0011809 | Paradoxical myotonia,1
HP:0012904 | Cold-sensitive myotonia,1
HP:0012901 | Myotonia of the jaw,1
HP:0012903 | Myotonia of the upper limb,1
HP:0012899 | Handgrip myotonia,1
HP:0003740 | Myotonia with warm-up phenomenon,1
HP:0010548 | Percussion myotonia,1
HP:0012902 | Myotonia of the lower limb,1
HP:0003730 | EMG: myotonic runs,2
HP:0003323 | Progressive muscle weakness,1
HP:0003704 | Scapuloperoneal weakness,1
HP:0003701 | Proximal muscle weakness,1
HP:0010628 | Facial palsy,4
HP:0012507 | Weakness of orbicularis oculi muscle,2
HP:0010547 | Muscle flaccidity,1
HP:0009023 | Abdominal wall muscle weakness,1
HP:0002460 | Distal muscle weakness,1
HP:0031372 | Cold paresis,1
HP:0009113 | Diaphragmatic weakness,1
HP:0003324 | Generalized muscle weakness,1
HP:0000467 | Neck muscle weakness,1
HP:0002421 | Poor head control,1
HP:0003473 | Fatigable weakness,2
HP:0003327 | Axial muscle weakness,1
HP:0031374 | Ankle weakness,1
HP:0001276 | Hypertonia,1
HP:0001252 | Hypotonia,1
HP:0003449 | Cold-induced muscle cramps,1
HP:0003710 | Exercise-induced muscle cramps,1
HP:0031989 | Perioral spasm,1
HP:0011964 | Intermittent painful muscle spasms,1
HP:0003688 | Cytochrome C oxidase-negative muscle fibers,1
HP:0009141 | Depletion of mitochondrial DNA in muscle tissue,1
HP:0003548 | Subsarcolemmal accumulations of abnormally shaped mitochondria,1
HP:0003737 | Mitochondrial myopathy,1
HP:0100287 | EMG: slow motor conduction,1
HP:0030000 | EMG: repetitive nerve stimulation abnormality,1
HP:0100285 | EMG: impaired neuromuscular transmission,1
HP:0003482 | EMG: axonal abnormality,1
HP:0003445 | EMG: neuropathic changes,1
HP:0100284 | EMG: myotonic discharges,1
HP:0100288 | EMG: myokymic discharges,2
HP:0033767 | Abnormal single motor unit action potential,1
HP:0100283 | EMG: continuous motor unit activity at rest,1
HP:0030006 | Single fiber EMG abnormality,1
HP:0008967 | Exercise-induced muscle stiffness,1
HP:0033235 | Difficulty descending stairs,1
HP:0003551 | Difficulty climbing stairs,1
HP:0002359 | Frequent falls,2
HP:0009046 | Difficulty running,1
HP:0002355 | Difficulty walking,2
HP:0003698 | Difficulty standing,1
HP:0010729 | Cherry red spot of the macula,1
HP:0008030 | Retinal arteritis,3
HP:0007985 | Retinal arteriolar occlusion,2
HP:0025355 | Retinal arterial macroaneurysms,1
HP:0000631 | Retinal arterial tortuosity,3
HP:0025326 | Retinal arterial occlusion,1
HP:0008043 | Retinal arteriolar constriction,1
HP:0001136 | Retinal arteriolar tortuosity,2
HP:0005290 | Internal carotid artery hypoplasia,1
HP:0410006 | Abnormality of ophthalmic artery,1
HP:0002003 | Large forehead,1
HP:0004425 | Flat forehead,1
HP:0005336 | Forehead hyperpigmentation,2
HP:0011220 | Prominent forehead,1
HP:0000599 | Abnormality of the frontal hairline,2
HP:0005556 | Abnormality of the metopic suture,2
HP:0000340 | Sloping forehead,1
HP:0011221 | Vertical forehead creases,1
HP:0002056 | Abnormality of the glabella,1
HP:0000341 | Narrow forehead,1
HP:0000337 | Broad forehead,1
HP:0000350 | Small forehead,1
HP:0011335 | Frontal hirsutism,2
HP:0002007 | Frontal bossing,2
HP:0000348 | High forehead,1
HP:0000321 | Square face,1
HP:0000311 | Round face,1
HP:0012368 | Flat face,1
HP:0500011 | Moon facies,1
HP:0000324 | Facial asymmetry,1
HP:0100729 | Large face,1
HP:0011334 | Facial shape deformation,1
HP:0000280 | Coarse facial features,1
HP:0000320 | Bird-like facies,1
HP:0000295 | Doll-like facies,1
HP:0000325 | Triangular face,1
HP:0005461 | Craniofacial disproportion,1
HP:0000300 | Oval face,1
HP:0004428 | Elfin facies,1
HP:0000274 | Small face,1
HP:0000307 | Pointed chin,1
HP:0000303 | Mandibular prognathia,2
HP:0011823 | Chin with horizontal crease,1
HP:0000331 | Short chin,1
HP:0011323 | Cleft of chin,1
HP:0400000 | Tall chin,1
HP:0010751 | Dimple chin,1
HP:0400001 | Chin with vertical crease,1
HP:3000029 | Abnormality of depressor labii inferioris,2
HP:0011824 | Chin with H-shaped crease,1
HP:0011822 | Broad chin,1
HP:3000007 | Abnormality of mentalis muscle,2
HP:0001739 | Abnormal nasopharynx morphology,2
HP:0012384 | Rhinitis,1
HP:3000014 | Abnormality of procerus muscle,2
HP:0040057 | Abnormality of nasal hair,1
HP:0001742 | Nasal congestion,1
HP:0005289 | Abnormality of the nasolabial region,1
HP:0000415 | Abnormality of the choanae,1
HP:0010640 | Abnormality of the nasal cavity,1
HP:3000009 | Abnormality of nasalis muscle,2
HP:0005105 | Abnormal nasal morphology,1
HP:0008497 | Congenital craniofacial dysostosis,1
HP:0005321 | Mandibulofacial dysostosis,1
HP:0004673 | Decreased facial expression,1
HP:0005324 | Disturbance of facial expression,1
HP:0100731 | Transverse facial cleft,2
HP:0031574 | Orbital cleft,1
HP:0100629 | Midline facial cleft,1
HP:0031571 | Paramedian facial cleft,1
HP:0031816 | Abnormal oral morphology,1
HP:0031815 | Abnormal oral physiology,1
HP:0005465 | Facial hyperostosis,1
HP:0032039 | Abnormality of the ocular adnexa,1
HP:0001144 | Orbital cyst,1
HP:0040167 | Facial papilloma,2
HP:0025553 | Periorbital ecchymosis with tarsal plate sparing,1
HP:0025552 | Periorbital purpura,1
HP:0100876 | Infra-orbital crease,1
HP:0100538 | Abnormality of the supraorbital ridges,1
HP:0000607 | Periorbital wrinkles,2
HP:0100539 | Periorbital edema,2
HP:0001106 | Periorbital hyperpigmentation,2
HP:0025386 | Bitemporal hollowing,1
HP:0000629 | Periorbital fullness,1
HP:0011232 | Infra-orbital fold,1
HP:0011336 | Bitemporal forceps marks,1
HP:0011800 | Midface retrusion,1
HP:0010668 | Abnormal zygomatic bone morphology,2
HP:0012371 | Hyperplasia of midface,1
HP:0004426 | Abnormal cheek morphology,1
HP:0100038 | Slow-growing scalp hair,2
HP:0009553 | Abnormality of the hairline,2
HP:0002293 | Alopecia of scalp,2
HP:0002209 | Sparse scalp hair,2
HP:0009118 | Aplasia/Hypoplasia of the mandible,2
HP:0009117 | Aplasia/Hypoplasia of the maxilla,2
HP:0032569 | Temporal bossing,1
HP:0031604 | Agenesis of the carotid canal,1
HP:0032045 | Hypoplastic carotid canal,1
HP:0033011 | Platystencephaly,1
HP:0030716 | Acrania,1
HP:0002696 | Abnormal parietal bone morphology,1
HP:0000262 | Turricephaly,1
HP:0010539 | Thin calvarium,1
HP:0000243 | Trigonocephaly,1
HP:0002691 | Platybasia,1
HP:0030312 | Obliteration of the calvarial diploe,1
HP:0034271 | Copper beaten skull,1
HP:0000250 | Dense calvaria,2
HP:0430000 | Abnormal frontal bone morphology,1
HP:0002676 | Cloverleaf skull,1
HP:0000248 | Brachycephaly,1
HP:0001357 | Plagiocephaly,1
HP:0005474 | Decreased calvarial ossification,2
HP:0000267 | Cranial asymmetry,1
HP:0012294 | Abnormal occipital bone morphology,1
HP:0004422 | Biparietal narrowing,1
HP:0002678 | Skull asymmetry,1
HP:0000268 | Dolichocephaly,1
HP:0002682 | Broad skull,1
HP:0001362 | Calvarial skull defect,1
HP:0002684 | Thickened calvaria,1
HP:0001363 | Craniosynostosis,2
HP:0005906 | Delayed pneumatization of the mastoid process,1
HP:0012761 | Absent mastoid,1
HP:0010724 | Advanced pneumatization of the mastoid process,1
HP:0000265 | Mastoiditis,1
HP:0004331 | Decreased skull ossification,2
HP:0004330 | Increased skull ossification,2
HP:0034261 | Aplasia/Hypoplasia of facial bones,1
HP:0410000 | Abnormal vomer morphology,1
HP:0004484 | Craniofacial asymmetry,3
HP:0430004 | Frontomalar faciosynostosis,1
HP:0030791 | Abnormal jaw morphology,1
HP:0430005 | Abnormal ethmoid bone morphology,1
HP:0005464 | Craniofacial osteosclerosis,2
HP:0430002 | Abnormal lacrimal bone morphology,1
HP:0430003 | Abnormal palatine bone morphology,1
HP:0000586 | Shallow orbits,2
HP:0005472 | Orbital craniosynostosis,2
HP:0041156 | Fractured orbit of skull,1
HP:0002690 | Large sella turcica,1
HP:0010538 | Small sella turcica,1
HP:0040304 | Duplication of the sella turcica,1
HP:0002681 | Deformed sella turcica,1
HP:0004470 | Atretic occipital cephalocele,1
HP:0002084 | Encephalocele,2
HP:0002700 | Large foramen magnum,1
HP:0002677 | Small foramen magnum,1
HP:0011328 | Abnormality of fontanelles,1
HP:0011329 | Abnormality of cranial sutures,1
HP:0040195 | Decreased head circumference,1
HP:0040194 | Increased head circumference,1
HP:0009752 | Cleft in skull base,1
HP:0002737 | Thick skull base,1
HP:0002694 | Sclerosis of skull base,2
HP:0000932 | Abnormal posterior cranial fossa morphology,1
HP:0000930 | Elevated imprint of the transverse sinuses,1
HP:0000466 | Limited neck range of motion,1
HP:0033453 | Limited neck extension,1
HP:0025258 | Stiff neck,2
HP:0031179 | Nuchal rigidity,1
HP:0033481 | Limited lateral neck flexion,1
HP:0033357 | Limited head rotation,1
HP:0005991 | Limited neck flexion,1
HP:0010879 | Postnatal cystic hygroma,1
HP:0009796 | Branchial cyst,1
HP:0100272 | Branchial sinus,1
HP:0009795 | Branchial fistula,1
HP:0012822 | Bilateral vocal cord paresis,1
HP:0012821 | Unilateral vocal cord paresis,1
HP:0030835 | Elbow pain,1
HP:0030836 | Wrist pain,1
HP:0046505 | Hand pain,1
HP:0030841 | Toe pain,1
HP:0030839 | Knee pain,1
HP:0025238 | Foot pain,1
HP:0030840 | Ankle pain,1
HP:0010992 | Stress urinary incontinence,1
HP:0009737 | Lisch nodules,2
HP:0100780 | Conjunctival hamartoma,2
HP:0009594 | Retinal hamartoma,2
HP:0012055 | Ciliary body melanoma,2
HP:0011524 | Iris melanoma,2
HP:0012054 | Choroidal melanoma,1
HP:0030605 | Abnormal indocyanine green angiography,1
HP:0030603 | Abnormal optical coherence tomography,1
HP:0030602 | Abnormal fundus autofluorescence imaging,1
HP:0030604 | Abnormal fundus fluorescein angiography,1
HP:0001099 | Fundus atrophy,1
HP:0031605 | Abnormality of fundus pigmentation,1
HP:0031803 | Fundus hemorrhage,1
HP:0000479 | Abnormal retinal morphology,1
HP:0001107 | Ocular albinism,2
HP:0000587 | Abnormality of the optic nerve,1
HP:0025583 | Tapetal-like fundal reflex,1
HP:0030824 | Mizuo phenomenon,1
HP:0007773 | Vitreoretinopathy,1
HP:0007710 | Peripheral vitreous opacities,1
HP:0011531 | Vitritis,1
HP:0030672 | Asteroid hyalosis,1
HP:0007968 | Remnants of the hyaloid vascular system,1
HP:0031154 | Beaded vitreous appearance,1
HP:0001489 | Posterior vitreous detachment,1
HP:0007841 | Amyloid deposition in the vitreous humor,1
HP:0030663 | Optically empty vitreous,1
HP:0031153 | Membranous vitreous appearance,1
HP:0030856 | Posterior staphyloma,1
HP:0030855 | Anterior staphyloma,1
HP:0008053 | Aplasia/Hypoplasia of the iris,3
HP:0008034 | Abnormal iris pigmentation,1
HP:0011525 | Iris nevus,1
HP:0500007 | Iris flocculi,1
HP:0000615 | Abnormal pupil morphology,1
HP:0001101 | Iritis,1
HP:0025358 | Uveal ectropion,1
HP:0011523 | Iris cyst,1
HP:0100693 | Iridodonesis,1
HP:0001089 | Iris atrophy,1
HP:0500008 | Cornea verticillata,1
HP:0007705 | Corneal degeneration,1
HP:0001131 | Corneal dystrophy,1
HP:0011486 | Abnormality of corneal thickness,1
HP:0025348 | Abnormal corneal limbus morphology,1
HP:0040004 | Abnormality of corneal shape,1
HP:0011496 | Corneal neovascularization,1
HP:0011495 | Abnormal corneal epithelium morphology,1
HP:0011492 | Abnormal corneal stroma morphology,1
HP:0100691 | Abnormality of the curvature of the cornea,1
HP:0011488 | Abnormal corneal endothelium morphology,1
HP:0100583 | Corneal perforation,1
HP:0001120 | Abnormality of corneal size,1
HP:0007957 | Corneal opacity,1
HP:0008048 | Abnormal line of Schwalbe morphology,1
HP:0012630 | Abnormal trabecular meshwork morphology,1
HP:0031616 | Anterior chamber flare,1
HP:0025311 | Anterior chamber cyst,1
HP:0008037 | Absent anterior chamber of the eye,1
HP:0007833 | Anterior chamber synechiae,1
HP:0007765 | Deep anterior chamber,1
HP:0000594 | Shallow anterior chamber,1
HP:0031701 | Anterior chamber inflammatory cells,1
HP:0011485 | Corneolenticular adhesion,1
HP:0031702 | Anterior chamber red blood cells,1
HP:0031615 | Hypopyon,1
HP:0025560 | Anterior chamber cells,1
HP:0000518 | Cataract,1
HP:0001083 | Ectopia lentis,1
HP:0008063 | Aplasia/Hypoplasia of the lens,2
HP:0500081 | Pseudophakia,1
HP:0012629 | Phakodonesis,1
HP:0011526 | Abnormality of lens shape,1
HP:0000659 | Peters anomaly,1
HP:0001492 | Axenfeld anomaly,1
HP:0025492 | Microcoria,2
HP:0001119 | Keratoglobus,3
HP:0000519 | Developmental cataract,2
HP:0007774 | Hypoplasia of the ciliary body,2
HP:0012122 | Anterior uveitis,1
HP:0012121 | Panuveitis,1
HP:0007813 | Nongranulomatous uveitis,1
HP:0012123 | Posterior uveitis,1
HP:0012124 | Intermediate uveitis,1
HP:0025568 | Abnormal morphology of the choroidal vasculature,1
HP:0000532 | Abnormal chorioretinal morphology,2
HP:0025314 | Choroidal nevus,1
HP:0001139 | Choroideremia,1
HP:0030952 | Birdshot retinochoroidopathy,1
HP:0025148 | Dark choroid,1
HP:0031613 | Inferior chorioretinal coloboma,1
HP:0001116 | Macular coloboma,2
HP:0031614 | Inferior retinal coloboma,1
HP:0007800 | Increased axial length of the globe,1
HP:0000557 | Buphthalmos,2
HP:0007633 | Bilateral microphthalmos,1
HP:0011480 | Unilateral microphthalmos,1
HP:0011478 | True anophthalmia,1
HP:0007779 | Anterior segment of eye aplasia,1
HP:0008058 | Aplasia/Hypoplasia of the optic nerve,2
HP:0008061 | Aplasia/Hypoplasia of the retina,2
HP:0031624 | Moderate myopia,1
HP:0500066 | Latent myopia,1
HP:0031730 | Axial myopia,1
HP:0025573 | Mild myopia,1
HP:0011003 | High myopia,1
HP:0031728 | Mild hypermetropia,1
HP:0008499 | High hypermetropia,1
HP:0031729 | Moderate hypermetropia,1
HP:0031787 | Oblique astigmatism,1
HP:0000484 | Hyperopic astigmatism,1
HP:0031792 | Irregular astigmatism,1
HP:0031789 | Against the rule astigmatism,1
HP:0500041 | Myopic astigmatism,1
HP:0025612 | Corneal astigmatism,1
HP:0031791 | Lenticular astigmatism,1
HP:0031788 | With the rule astigmatism,1
HP:0031790 | Mixed astigmatism,1
HP:0031611 | Sub-inner limiting membrane hemorrhage,1
HP:0025574 | Macular hemorrhage,2
HP:0025243 | Subretinal hemorrhage,1
HP:0031805 | Intraretinal hemorrhage,1
HP:0025244 | Subretinal pigment epithelium hemorrhage,1
HP:0007906 | Ocular hypertension,1
HP:0025596 | Abnormal inferior oblique muscle physiology,1
HP:0025591 | Abnormal superior oblique muscle physiology,1
HP:0031740 | Abnormal horizontal rectus muscle physiology,1
HP:0031748 | Abnormal vertical rectus muscle physiology,1
HP:0000619 | Impaired convergence,1
HP:0000486 | Strabismus,1
HP:0000605 | Supranuclear gaze palsy,1
HP:0007704 | Paroxysmal involuntary eye movements,1
HP:0000639 | Nystagmus,1
HP:0007738 | Uncontrolled eye movements,1
HP:0007295 | Chaotic rapid conjugate ocular movements,1
HP:0010543 | Opsoclonus,2
HP:0031931 | Ocular flutter,2
HP:0031707 | Compensatory face turn to the right,1
HP:0031709 | Compensatory head tilt to the right shoulder,1
HP:0031710 | Compensatory head tilt to the left shoulder,1
HP:0031708 | Compensatory face turn to the left,1
HP:0001477 | Compensatory chin elevation,1
HP:0031706 | Compensatory chin depression,1
HP:0007772 | Impaired smooth pursuit,1
HP:0001152 | Saccadic smooth pursuit,1
HP:0008003 | Jerky ocular pursuit movements,1
HP:0007668 | Impaired pursuit initiation and maintenance,1
HP:0008507 | Static ophthalmoparesis,1
HP:0000602 | Ophthalmoplegia,1
HP:0012470 | Setting-sun eye phenomenon,1
HP:0012246 | Oculomotor nerve palsy,2
HP:0007715 | Weak extraocular muscles,1
HP:0000634 | Impaired ocular abduction,1
HP:0000497 | Globe retraction and deviation on abduction,1
HP:0025721 | Limited vertical extraocular movement,1
HP:0025720 | Limited horizontal extraocular movement,1
HP:0025405 | Visual fixation instability,1
HP:0025549 | Eccentric visual fixation,1
HP:0500074 | Dissociated vertical deviation,1
HP:0500075 | Dissociated horizontal deviation,1
HP:0007338 | Hypermetric saccades,1
HP:0000571 | Hypometric saccades,1
HP:0032104 | Saccadic oscillation,1
HP:0000514 | Slow saccadic eye movements,1
HP:0032114 | Saccadic intrusion,1
HP:0000641 | Dysmetric saccades,1
HP:0007911 | Congenital bilateral ptosis,2
HP:0006837 | Congenital Horner syndrome,1
HP:0031734 | Lacrimal pump failure,1
HP:0031731 | Increased tear production,1
HP:0031881 | Decreased tear drainage,1
HP:0000522 | Alacrima,1
HP:0031155 | Increased Arden ratio of electrooculogram,1
HP:0008179 | Decreased Arden ratio of electrooculogram,1
HP:0030468 | Abnormal multifocal electroretinogram,1
HP:0030466 | Abnormal full-field electroretinogram,1
HP:0030467 | Abnormal pattern electroretinogram,1
HP:0000550 | Undetectable electroretinogram,1
HP:0007965 | Undetectable visual evoked potentials,1
HP:0007928 | Abnormal flash visual evoked potentials,1
HP:0030455 | Abnormality of pattern visual evoked potentials,1
HP:0008007 | Primary congenital glaucoma,1
HP:0008041 | Late onset congenital glaucoma,1
HP:0007932 | Bilateral congenital mydriasis,1
HP:0030211 | Slow pupillary light response,1
HP:0007728 | Congenital miosis,1
HP:0007717 | Chronic irritative conjunctivitis,1
HP:0001096 | Keratoconjunctivitis,2
HP:0011859 | Punctate keratitis,1
HP:0025609 | Anterior blepharitis,1
HP:0025610 | Posterior blepharitis,1
HP:0007642 | Congenital stationary night blindness,2
HP:0007675 | Progressive night blindness,1
HP:0007830 | Adult-onset night blindness,1
HP:0007803 | Monochromacy,1
HP:0030584 | Color vision test abnormality,1
HP:0007641 | Dyschromatopsia,1
HP:0030513 | Difficulty adjusting from light to dark,1
HP:0030514 | Difficulty adjusting from dark to light,1
HP:0011515 | Abnormal stereopsis,1
