Id;Phenotype;Def
HP:0009970;Partial duplication of the proximal phalanx of the 3rd finger;Partial duplication of the third proximal phalanx of hand, seen on x-rays as a broad and/or bifid phalanx. [HPO:sdoelken]
HP:0009978;Complete duplication of the distal phalanx of the 4th finger;Complete duplication of the distal phalanx of ring finger. [HPO:probinson]
HP:0009979;Complete duplication of the middle phalanx of the 4th finger;Complete duplication of the middle phalanx of ring finger. [HPO:probinson]
HP:0009980;Complete duplication of the proximal phalanx of the 4th finger;Complete duplication of the fourth proximal phalanx of hand. [HPO:probinson]
HP:0009981;Partial duplication of the distal phalanx of the 4th finger;Partial duplication of the distal phalanx of ring finger, seen on x-rays as a broad and/or bifid phalanx. [HPO:sdoelken]
HP:0009982;Partial duplication of the middle phalanx of the 4th finger;Partial duplication of the middle phalanx of ring finger, seen on x-rays as a broad and/or bifid phalanx. [HPO:sdoelken]
HP:0009983;Partial duplication of the proximal phalanx of the 4th finger;Partial duplication of the fourth proximal phalanx of hand, seen on x-rays as a broad and/or bifid phalanx. [HPO:sdoelken]
HP:0009991;Complete duplication of the distal phalanx of the 5th finger;Complete duplication of the distal phalanx of little finger. [HPO:probinson]
HP:0009992;Complete duplication of the middle phalanx of the 5th finger;Complete duplication of the fifth middle phalanx of hand. [HPO:probinson]
HP:0009993;Complete duplication of the proximal phalanx of the 5th finger;Complete duplication of the fifth proximal phalanx of hand. [HPO:probinson]
HP:0009994;Partial duplication of the distal phalanx of the 5th finger;Partial duplication of the distal phalanx of little finger, seen on x-rays as a broad and/or bifid phalanx. [HPO:sdoelken]
HP:0009995;Partial duplication of the middle phalanx of the 5th finger;Partial duplication of the fifth middle phalanx of hand, seen on x-rays as a broad and/or bifid phalanx. [HPO:sdoelken]
HP:0009996;Partial duplication of the proximal phalanx of the 5th finger;Partial or complete duplication of the fifth proximal phalanx of hand, seen on x-rays as a broad and/or bifid phalanx. [HPO:sdoelken]
HP:0010015;Absent epiphysis of the 1st metacarpal;
HP:0010016;Bracket epiphysis of the 1st metacarpal;An epiphysis that curves around from its transverse orientation to a longitudinal one from proximal to distal along one side of the phalanx, thus resembling the letter 'C' and forming a bracket around the diaphysis. This results in a so called delta phalanx characterized by a triangular or trapezoidal shaped bone with a C-shaped epiphyseal plate. [HPO:probinson, PMID:24432108]
HP:0010017;Cone-shaped epiphysis of the 1st metacarpal;A cone-shaped appearance of the epiphysis of the 1st metacarpal, producing a 'ball-in-a-socket' appearance. [HPO:probinson]
HP:0010018;Enlarged epiphysis of the 1st metacarpal;Abnormally large size of the epiphyses of the 1st metacarpal with respect to age-dependent norms. [HPO:probinson]
HP:0010020;Irregular epiphysis of the 1st metacarpal;Uneven radiographic opacity of the epiphysis of the 1st metacarpal. [HPO:probinson]
HP:0010021;Ivory epiphysis of the 1st metacarpal;The epiphysis of the 1st metacarpal appears hard and dense like ivory. An ivory epiphysis has a uniformly dense appearance on radiographs. [HPO:probinson]
HP:0010022;Pseudoepiphysis of the 1st metacarpal;The epiphysis of the first metacarpal is localized at the proximal end of the metacarpal bone although an accessory epiphysis may be located at the distal end of the metacarpal. [HPO:probinson]
HP:0010023;Small epiphysis of the 1st metacarpal;Abnormally small size of the epiphysis of the 1st metacarpal with respect to age-dependent norms. [HPO:probinson]
HP:0010024;Epiphyseal stippling of the first metacarpal;The presence of abnormal punctate (speckled, dot-like) calcifications in the epiphyses of the first metacarpal bone. [HPO:probinson]
HP:0010025;Triangular epiphysis of the 1st metacarpal;
HP:0010027;Broad 1st metacarpal;Increased width of the 1st metacarpal. In contrast to the proximal phalanges of the digits 2-5, the proximal phalanx of the thumb is embryologically equivalent to the middle phalanges of the other digits, whereas the first metacarpal is embryologically of phalangeal origin and as such equivalent to the proximal phalanges of the other digits. [HPO:curators]
HP:0010028;Bullet-shaped 1st metacarpal;"The presence of short and wide 1st metacarpal which tapers distally (\bullet shaped\"")."" [HPO:probinson]"
HP:0010029;Curved 1st metacarpal;A deviation from the normal straight shape of the first metacarpal. [HPO:probinson]
HP:0010030;Osteolytic defects of the 1st metacarpal;Dissolution or degeneration of bone tissue of the 1st metacarpal. [HPO:probinson]
HP:0010031;Patchy sclerosis of the 1st metacarpal;Uneven increase in bone density within the 1st metacarpal. [HPO:probinson]
HP:0010033;Triangular shaped 1st metacarpal;This term applies to a triangular shaped 1st metacarpal. [HPO:probinson]
HP:0010034;Short 1st metacarpal;A developmental defect characterized by reduced length of the first metacarpal (long bone) of the hand. [HPO:probinson]
HP:0010035;Aplasia of the 1st metacarpal;Absent first metacarpal (long bone) of the hand. [HPO:probinson]
HP:0010037;Aplasia of the 2nd metacarpal;Absence of the second long bone of the hand. [HPO:curators]
HP:0010038;Short 2nd metacarpal;Short second metacarpal bone because of developmental hypoplasia. [HPO:probinson]
HP:0010040;Aplasia of the 3rd metacarpal;Absence of the third long bone of the hand. [HPO:curators]
HP:0010041;Short 3rd metacarpal;Short third metacarpal bone. [HPO:probinson]
HP:0010043;Aplasia of the 4th metacarpal;Absence of the fourth long bone of the hand. [HPO:curator]
HP:0010044;Short 4th metacarpal;Short fourth metacarpal bone. [HPO:probinson]
HP:0010046;Aplasia of the 5th metacarpal;Absence of the fifth long bone of the hand. [HPO:curators]
HP:0010047;Short 5th metacarpal;Short fifth metacarpal bone. [HPO:probinson]
HP:0010068;Broad first metatarsal;Increased side-to-side width of the first metatarsal bone. [HPO:probinson]
HP:0010069;Bullet-shaped 1st metatarsal;An abnormal morphology of the firstmetatarsal bone, which is short and wide and tapers distally, and lacks the normal diaphyseal constriction. [HPO:probinson]
HP:0010070;Curved 1st metatarsal;A deviation from the normal straight shape of a proximal phalanx of the 1st metatarsal bone. [HPO:probinson]
HP:0010071;Osteolytic defects of the 1st metatarsal;Dissolution or degeneration of bone tissue of the first metatarsal. [HPO:probinson]
HP:0010072;Patchy sclerosis of the 1st metatarsal;
HP:0010074;Triangular shaped 1st metatarsal;
HP:0010077;Broad distal phalanx of the hallux;An increase in width of the distal phalanx of the big toe. [HPO:probinson]
HP:0010078;Bullet-shaped distal phalanx of the hallux;An abnormal morphology of the distal phalanx of the big toe, with a short and wide phalanx that tapers distally. Bullet-shaped phalanges lack the normal diaphyseal constriction. [HPO:probinson]
HP:0010079;Curved distal phalanx of the hallux;A deviation from the normal straight form of the distal phalanx of the big toe. [HPO:probinson]
HP:0010080;Osteolytic defects of the distal phalanx of the hallux;
HP:0010081;Patchy sclerosis of the distal phalanx of the hallux;
HP:0010082;Symphalangism affecting the distal phalanx of the hallux;
HP:0010083;Triangular shaped distal phalanx of the hallux;
HP:0010086;Broad proximal phalanx of the hallux;Increased width of proximal phalanx of big toe. [HPO:probinson]
HP:0010087;Bullet-shaped proximal phalanx of the hallux;An abnormal morphology of the proximal phalanx of the big toe, with a short and wide phalanx that tapers distally. Bullet-shaped phalanges lack the normal diaphyseal constriction. [HPO:probinson]
HP:0010088;Curved proximal phalanx of the hallux;A deviation from the normal straight form of the proximal phalanx of the big toe. [HPO:probinson]
HP:0010089;Osteolytic defects of the proximal phalanx of the hallux;
HP:0010090;Patchy sclerosis of the proximal phalanx of the hallux;
HP:0010092;Triangular shaped proximal phalanx of the hallux;
HP:0010094;Complete duplication of the proximal phalanx of the hallux;Complete duplication of the proximal phalanx of big toe. [HPO:sdoelken]
HP:0010095;Partial duplication of the proximal phalanx of the hallux;Partial duplication of the proximal phalanx of big toe. [HPO:sdoelken]
HP:0010096;Complete duplication of the distal phalanx of the hallux;
HP:0010097;Partial duplication of the distal phalanx of the hallux;
HP:0010098;Complete duplication of the 1st metatarsal;A developmental defect consisting in the complete duplication of the first metatarsal bone. [HPO:probinson]
HP:0010099;Partial duplication of the 1st metatarsal;A developmental defect consisting in the duplication of part of the first metatarsal bone. [HPO:probinson]
HP:0010102;Aplasia of the distal phalanx of the hallux;
HP:0010103;Short distal phalanx of hallux;Underdevelopment (hypoplasia) of the distal phalanx of big toe. [HPO:probinson]
HP:0010104;Absent first metatarsal;A developmental defect characterized by the absence of the first metatarsal bone. [HPO:probinson]
HP:0010105;Short first metatarsal;Short first metatarsal bone. [HPO:probinson]
HP:0010106;Aplasia of the proximal phalanx of the hallux;
HP:0010107;Short proximal phalanx of hallux;Underdevelopment (hypoplasia) of the proximal phalanx of big toe. [HPO:probinson]
HP:0010127;Absent epiphysis of the proximal phalanx of the hallux;Failure to form (agenesis) of the epiphysis of the proximal phalanx of the hallux. [HPO:probinson]
HP:0010128;Bracket epiphysis of the proximal phalanx of the hallux;The epiphysis of the proximal phalanx of the hallux surrounds the diaphysis, having a bracket-like form. [HPO:probinson]
HP:0010129;Cone-shaped epiphysis of the proximal phalanx of the hallux;
HP:0010130;Enlarged epiphysis of the proximal phalanx of the hallux;
HP:0010131;Fragmentation of the epiphysis of the proximal phalanx of the hallux;
HP:0010132;Irregular epiphysis of the proximal phalanx of the hallux;
HP:0010133;Ivory epiphysis of the proximal phalanx of the hallux;
HP:0010134;Pseudoepiphysis of the proximal phalanx of the hallux;A pseudoepiphysis (an accessory epiphysis that does not significantly contribute to the longitudinal growth of a tubular bone) located in the proximal phalanx of the big toe. []
HP:0010135;Small epiphysis of the proximal phalanx of the hallux;
HP:0010136;Stippling of the epiphysis of the proximal phalanx of the hallux;The presence of abnormal punctate (speckled, dot-like) calcifications in the epiphyses of the proximal phalanx of the hallux. [HPO:curators]
HP:0010137;Triangular epiphysis of the proximal phalanx of the hallux;
HP:0010138;Absent epiphysis of the distal phalanx of the hallux;Failure to form (agenesis) of the epiphysis of the distal phalanx of the hallux. [HPO:probinson]
HP:0010139;Bracket epiphysis of the distal phalanx of the hallux;The epiphysis of the distal phalanx of the hallux surrounds the diaphysis, having a bracket-like form. [HPO:probinson]
HP:0010140;Cone-shaped epiphysis of the distal phalanx of the hallux;
HP:0010141;Enlarged epiphysis of the distal phalanx of the hallux;
HP:0010142;Fragmentation of the epiphysis of the distal phalanx of the hallux;
HP:0010143;Irregular epiphysis of the distal phalanx of the hallux;
HP:0010144;Ivory epiphysis of the distal phalanx of the hallux;
HP:0010145;Pseudoepiphysis of the distal phalanx of the hallux;
HP:0010146;Small epiphysis of the distal phalanx of the hallux;
HP:0010147;Stippling of the epiphysis of the distal phalanx of the hallux;The presence of abnormal punctate (speckled, dot-like) calcifications in the epiphyses of the distal phalanx of the hallux. [HPO:curators]
HP:0010148;Triangular epiphysis of the distal phalanx of the hallux;
HP:0010149;Absent epiphysis of the 1st metatarsal;Failure to form (agenesis) of the epiphysis of the 1st metatarsal. [HPO:probinson]
HP:0010150;Bracket epiphysis of the 1st metatarsal;The epiphysis of the 1st metatarsal surrounds the diaphysis, having a bracket-like form. [HPO:probinson]
HP:0010151;Cone-shaped epiphysis of the 1st metatarsal;A conical (cone-shaped) appearance of the epiphysis of the first metatarsal of the foot. [HPO:curators]
HP:0010152;Enlarged epiphysis of the 1st metatarsal;
HP:0010154;Irregular epiphysis of the 1st metatarsal;
HP:0010155;Ivory epiphysis of the 1st metatarsal;The epiphysis of the 1st metatarsal appears hard and dense like ivory. An ivory epiphysis has a uniformly dense appearance on radiographs. [HPO:probinson]
HP:0010156;Pseudoepiphysis of the 1st metatarsal;
HP:0010157;Small epiphysis of the 1st metatarsal;
HP:0010158;Stippling of the epiphysis of the 1st metatarsal;
HP:0010159;Triangular epiphysis of the 1st metatarsal;
HP:0010196;Bullet-shaped middle toe phalanx;An abnormal morphology of one or more middle phalanges of the toes, with a short and wide phalanx that tapers distally. Bullet-shaped phalanges lack the normal diaphyseal constriction. [HPO:probinson]
HP:0010207;Osteolytic defect of the proximal toe phalanx;Dissolution or degeneration of bone tissue of the proximal toe phalanx. [HPO:probinson]
HP:0010210;Triangular shaped proximal phalanges of the toes;
HP:0010213;Contracture of the tarsometatarsal joint of the hallux;Chronic loss of joint motion in the tarsometatarsal joint of the hallux due to structural changes in non-bony tissue. The tarsometatarsal joints of the feet are also called Lisfranc's joints. [HPO:probinson]
HP:0010214;Contracture of the interphalangeal joint of the hallux;The interphalangeal joint of the big toe cannot be straightened actively or passively. [HPO:probinson]
HP:0010215;Contractures of the metatarsophalangeal joint of the hallux;The joint between the first metatarsal and the proximal phalanx of the first (big) toe cannot be straightened actively or passively. [HPO:probinson]
HP:0010219;Structural foot deformity;A foot deformity resulting due to an abnormality affecting the bones of the foot (as well as muscle and soft tissue). In contrast if only the muscle and soft tissue are affected the term positional foot deformity applies. [HPO:curators]
HP:0010223;Pseudoepiphysis of the 3rd metacarpal;The normal epiphysis of the third metacarpal is localised at the distal end of the metacarpal bone. This term aplies if an accesory epiphysis, located at the proximal end of the metacarpal bone, is present. [HPO:curators]
HP:0010225;Pseudoepiphysis of the 4th metacarpal;The normal epiphysis of the fourth metacarpal is localised at the distal end of the metacarpal bone. This term aplies if an accesory epiphysis, located at the proximal end of the metacarpal bone, is present. [HPO:curators]
HP:0010227;Pseudoepiphysis of the 5th metacarpal;The normal epiphysis of the fifth metacarpal is localised at the distal end of the metacarpal bone. This term aplies if an accesory epiphysis, located at the proximal end of the metacarpal bone, is present. [HPO:curators]
HP:0010281;Cleft lower lip;A gap in the lower lip. [HPO:probinson]
HP:0010282;Thin lower lip vermilion;Height of the vermilion of the medial part of the lower lip more than 2 SD below the mean. Alternatively, an apparently reduced height of the vermilion of the lower lip in the frontal view (subjective). [PMID:19125428]
HP:0010284;Intra-oral hyperpigmentation;Increased pigmentation, either focal or generalized, of the mucosa of the mouth. [PMID:19125428]
HP:0010285;Oral synechia;Fibrous band between the mucosal surfaces of the upper and lower alveolar ridges. [PMID:19125428]
HP:0010287;Abnormality of the submandibular glands;Any abnormality of the submandibular glands, which are the salivary glands that are located beneath the floor of the mouth, superior to the digastric muscles. [HPO:curators]
HP:0010288;Abnormality of the sublingual glands;Any abnormality of the sublingual glands, which are the salivary glands that are located beneath the floor of the mouth anterior to the submandibular glands. [HPO:curators]
HP:0010290;Short hard palate;Distance between the labial point of the incisive papilla to the midline junction of the hard and soft palate more than 2 SD below the mean (objective) or apparently decreased length of the hard palate (subjective). [PMID:19125428]
HP:0010291;Prominent palatine ridges;Increased size and/or number of soft tissue folds on the palatal side of the maxillary alveolar ridge. [PMID:19125428]
HP:0010292;Absent uvula;Lack of the uvula. [PMID:19125428]
HP:0010294;Palate fistula;A fistula which connects the oral cavity and the pharyngeal area via the aspects of the soft palate. [HPO:probinson]
HP:0010296;Ankyloglossia;Short or anteriorly attached lingual frenulum, associated with limited mobility of the tongue. [PMID:19125428]
HP:0010297;Bifid tongue;Tongue with a median apical indentation or fork. [PMID:19125428]
HP:0010298;Smooth tongue;Glossy appearance of the entire tongue surface. [PMID:19125428]
HP:0010300;Abnormally low-pitched voice;An abnormally low-pitched voice. [HPO:curators]
HP:0010304;Spinal meningeal diverticulum;An outpouching of the spinal meninges. [HPO:curators]
HP:0010305;Absence of the sacrum;Absence (aplasia) of the sacrum. [HPO:probinson]
HP:0010306;Short thorax;Reduced inferior to superior extent of the thorax. [HPO:curators]
HP:0010308;Asternia;The congenital absence of the sternum. [HPO:probinson, PMID:3424262]
HP:0010309;Bifid sternum;The sternal cleft is a rare congenital anomaly resulting from a fusion failure of the sternum. [HPO:probinson]
HP:0010310;Chylothorax;Accumulation of excessive amounts of lymphatic fluid (chyle) in the pleural cavity. [HPO:curators]
HP:0010312;Asymmetry of the breasts;The presence of asymmetrical breasts. [HPO:probinson]
HP:0010313;Breast hypertrophy;The presence of hypertrophy of the breast. [HPO:probinson]
HP:0010314;Premature thelarche;Premature development of the breasts. [HPO:probinson]
HP:0010316;Ebstein anomaly of the tricuspid valve;Ebstein's anomaly refers to an abnormally placed and deformed tricuspid valve characterized by apical displacement of the septal and posterior tricuspid valve leaflets, leading to atrialization of the right ventricle with a variable degree of malformation and displacement of the anterior leaflet. [DDD:dbrown, HPO:probinson]
HP:0010317;Scapular aplasia;Absence of the scapulae. [HPO:probinson]
HP:0010328;Polydactyly affecting the 2nd toe;
HP:0010334;Polydactyly affecting the 3rd toe;
HP:0010340;Polydactyly affecting the 4th toe;
HP:0010396;Broad proximal phalanx of the 2nd toe;
HP:0010397;Bullet-shaped proximal phalanx of the 2nd toe;An abnormal morphology of the proximal phalanx of the 2nd toe, with a short and wide phalanx that tapers distally. Bullet-shaped phalanges lack the normal diaphyseal constriction. [HPO:probinson]
HP:0010398;Curved proximal phalanx of the 2nd toe;A deviation from the normal straight form of the proximal phalanx of the 2nd toe. [HPO:probinson]
HP:0010399;Osteolytic defects of the proximal phalanx of the 2nd toe;
HP:0010400;Patchy sclerosis of the proximal phalanx of the 2nd toe;
HP:0010402;Triangular shaped proximal phalanx of the 2nd toe;
HP:0010405;Broad middle phalanx of the 2nd toe;
HP:0010406;Bullet-shaped middle phalanx of the 2nd toe;An abnormal morphology of the middle phalanx of the second toe, with a short and wide phalanx that tapers distally. Bullet-shaped phalanges lack the normal diaphyseal constriction. [HPO:probinson]
HP:0010407;Curved middle phalanx of the 2nd toe;A deviation from the normal straight form of the middle phalanx of the 2nd toe. [HPO:probinson]
HP:0010408;Osteolytic defects of the middle phalanx of the 2nd toe;
HP:0010409;Patchy sclerosis of the middle phalanx of the 2nd toe;
HP:0010411;Triangular shaped middle phalanx of the 2nd toe;
HP:0010414;Broad distal phalanx of the 2nd toe;
HP:0010415;Bullet-shaped distal phalanx of the 2nd toe;An abnormal morphology of the distal phalanx of the second toe, with a short and wide phalanx that tapers distally. Bullet-shaped phalanges lack the normal diaphyseal constriction. [HPO:probinson]
HP:0010416;Curved distal phalanx of the 2nd toe;A deviation from the normal straight form of the distal phalanx of the 2nd toe. [HPO:probinson]
HP:0010417;Osteolytic defects of the distal phalanx of the 2nd toe;
HP:0010418;Patchy sclerosis of the distal phalanx of the 2nd toe;
HP:0010419;Symphalangism affecting the distal phalanx of the 2nd toe;
HP:0010420;Triangular shaped distal phalanx of the 2nd toe;
HP:0010422;Complete duplication of the proximal phalanx of the 2nd toe;Complete duplication of proximal phalanx of second toe. [HPO:sdoelken]
HP:0010423;Partial duplication of the proximal phalanx of the 2nd toe;Partial duplication of proximal phalanx of second toe. [HPO:probinson]
HP:0010424;Complete duplication of the distal phalanx of the 2nd toe;Complete duplication of the distal phalanx of second toe. [HPO:probinson]
HP:0010425;Partial duplication of the distal phalanx of the 2nd toe;Partial duplication of the distal phalanx of second toe. [HPO:probinson]
HP:0010426;Complete duplication of the middle phalanx of the 2nd toe;Complete duplication of middle phalanx of second toe. [HPO:sdoelken]
HP:0010427;Partial duplication of the middle phalanx of the 2nd toe;Partial duplication of middle phalanx of second toe. [HPO:sdoelken]
HP:0010432;Absent distal phalanx of the 2nd toe;Absence of distal phalanx of the second toe as a result of developmental aplasia. [HPO:probinson]
HP:0010433;Short distal phalanx of the 2nd toe;Reduced length of the distal phalanx of the second toe as a result of developmental hypoplasia. [HPO:probinson]
HP:0010434;Aplasia of the middle phalanx of the 2nd toe;
HP:0010435;Short middle phalanx of the 2nd toe;Reduced length of the middle phalanx of second toe as a result of developmental hypoplasia. [HPO:probinson]
HP:0010436;Aplasia of the proximal phalanx of the 2nd toe;
HP:0010437;Short proximal phalanx of the 2nd toe;Reduced length of the proximal phalanx of second toe as a result of developmental hypoplasia. [HPO:sdoelken]
HP:0010440;Ectopic accesory toe-like appendage;In contrast to forms of polydactyly where the supernumerary digit (this can either be a rudimentary or a completely 'normal' digit) is either located postaxial (on the fibular side of the foot, next top the little toe), preaxial (on the tibial side of the foot, next to the big toe) or mesoaxial (somewhere central, between big and little toe), a supernumerary digit may also be placed ectopically, meaning anywhere else except post-,meso- or preaxial. In the literature this is sometimes referred to as Disorganisation-like Syndrome (OMIM223200). [HPO:curators]
HP:0010441;Ectopic accessory finger-like appendage;In contrast to forms of polydactyly where the supernumerary digit (this can either be a rudimentary or a completely 'normal' digit) is either located postaxial (on the ulnar side of the hand, next to the little finger), preaxial (on the radial side of the hand, next to the thumb) or mesoaxial (somewhere central, between thumb and little finger), a supernumerary digit may also be placed ectopically, meaning anywhere else except post-,meso- or preaxial. In the literature this is sometimes referred to as Disorganisation-like Syndrome (OMIM223200). [HPO:probinson]
HP:0010443;Bifid femur;A bifid or bifurcated appearance of the femur as seen on x-rays, possible appearing as a more or less severe bowing of the upper leg. Might be associated with hip dysplasia on the affected side. [HPO:probinson]
HP:0010444;Pulmonary insufficiency;The retrograde (backwards) flow of blood through the pulmonary valve into the right ventricle during diastole. [HPO:probinson, ORCID:0000-0002-3302-4610, PMID:32491496]
HP:0010445;Primum atrial septal defect;An ostium primum atrial septal defect is located in the most anterior and inferior aspect of the atrial septum. The ostium primum refers to an anterior and inferior opening (ostium) within the septum primum, which divides the rudimentary atrium during fetal development. The ostium primum is normally sealed by fusion of the superior and inferior endocardial cushions around 5 weeks' gestation. Ostium primum defects result from a failure of the fusion of the embryologic endocardial cushion and septum primum. [DDD:dbrown, HPO:probinson]
HP:0010446;Tricuspid stenosis;A narrowing of the orifice of the tricuspid valve of the heart. [HPO:probinson, PMID:18222317]
HP:0010448;Colonic atresia;A developmental defect resulting in complete obliteration of the lumen of the colon. That is, there is an abnormal closure, or atresia of the tubular structure of the colon. [HPO:probinson]
HP:0010452;Ectopia of the spleen;An abnormal (non-anatomic) location of the spleen. [HPO:curators]
HP:0010453;Pelvic bone asymmetry;Pelvic asymmetry refers to asymmetric positioning of landmarks on the two sides of the pelvis and may have a structural or functional etiology. [HPO:probinson]
HP:0010455;Steep acetabular roof;An exaggeration of the normal arched form of the acetabular roof such that it takes on a steep appearance. [HPO:probinson]
HP:0010458;Female pseudohermaphroditism;Hermaphroditism refers to a discrepancy between the morphology of the gonads and that of the external genitalia. In female pseudohermaphroditism, the genotype is female (XX) and the gonads are ovaries, but the external genitalia are virilized. [HPO:curators]
HP:0010459;True hermaphroditism;The presence of both ovarian and testicular tissues either in the same or in opposite gonads. Affected persons have ambiguous genitalia and may have 46,XX or 46,XY karyotypes or 46,XX/XY mosaicism. [HPO:probinson, PMID:11327376]
HP:0010463;Aplasia of the ovary;Aplasia, that is failure to develop, of the ovary. [HPO:probinson]
HP:0010464;Streak ovary;A developmental disorder characterized by the progressive loss of primordial germ cells in the developing ovaries of an embryo, leading to hypoplastic ovaries composed of wavy connective tissue with occasional clumps of granulosa cells, and frequently mesonephric or hilar cells. [HPO:probinson]
HP:0010465;Precocious puberty in females;The onset of puberty before the age of 8 years in girls. [HPO:probinson]
HP:0010469;Absent testis;Testis not palpable in the scrotum or inguinal canal. [HPO:probinson, PMID:23650202]
HP:0010470;Supernumerary testes;The presence of more than two testes. [HPO:probinson]
HP:0010474;Bladder stones;Buildups of minerals that form in the urinary bladder. [HPO:probinson]
HP:0010475;Cloacal exstrophy;Cloacal exstrophy is a severe anterior abdominal wall defect in which the two hemibladders are visible and are separated by a midline intestinal plate, an omphalocele, and an imperforate anus. [HPO:probinson]
HP:0010477;Aplasia of the bladder;Aplasia (absence) of the urinary bladder. [HPO:probinson]
HP:0010479;Patent urachus;Persistence of the urachal canal resulting in a canal between the bladder and the umbilicus. [HPO:probinson]
HP:0010482;Acromelia of the upper limbs;Shortening of the arms predominantly affecting terminal parts of the arm in relation to the upper and middle limb segments. [HPO:curators]
HP:0010483;Amniotic constriction rings of arms;Amniotic constriction rings affecting the arms. [HPO:curators]
HP:0010485;Hyperextensibility at elbow;The ability of the elbow joint to move beyond its normal range of motion. [HPO:curators]
HP:0010487;Small hypothenar eminence;Reduced muscle mass on the ulnar side of the palm, that is, reduction in size of the hypothenar eminence. [HPO:probinson, PMID:19125433]
HP:0010489;Absent palmar crease;The absence of the major creases of the palm (distal transverse crease, proximal transverse crease, or thenar crease). [HPO:probinson, PMID:19125433]
HP:0010491;Digital constriction ring;A narrow segment of significantly reduced circumference of a digit. [PMID:19125433]
HP:0010492;Osseous finger syndactyly;"Webbing or fusion of the fingers, involving soft parts and including fusion of individual finger bones. Bony fusions are referred to as \bony\"" Syndactyly if the fusion occurs in a radio-ulnar axis. Fusions of bones of the fingers in a proximo-distal axis are referred to as \""Symphalangism\""."" [HPO:sdoelken]"
HP:0010493;Long metacarpals;An abnormally increased length of the metacarpal bones. [HPO:probinson]
HP:0010494;Acromelia of the lower limbs;Shortening of the legs predominantly affecting terminal parts of the leg in relation to the upper and middle arm segments. [HPO:probinson]
HP:0010495;Amniotic constriction rings of legs;Amniotic constriction rings affecting the legs. [HPO:probinson]
HP:0010497;Sirenomelia;A developmental defect in which the legs are fused together. [HPO:probinson]
HP:0010498;Bipartite patella;A developmental defect that occurs if the two halves of the patella fail to fuse in early childhood. [HPO:probinson]
HP:0010499;Patellar subluxation;The kneecap normally is located within the groove termed trochlea on the distal femur and can slide up and down in it. Patellar subluxation refers to an unstable kneecap that does not slide centrally within its groove, i.e., a partial dislocation of the patella. [HPO:curators]
HP:0010502;Fibular bowing;A bending or abnormal curvature of the fibula. [HPO:probinson]
HP:0010503;Fibular duplication;Duplication of the fibula. This may occur as a part of diplopodia (accessory tarsal or metatarsal bone). Diplopodia with double fibula is an extremely rare condition. [HPO:probinson]
HP:0010504;Increased length of the tibia;An abnormal increase in the length of the tibia. [HPO:curators]
HP:0010506;Abnormal plantar dermatoglyphics;An abnormality of dermatoglyphs on the toes and soles, i.e., an abnormality of the patterns of ridges of the skin of sole of foot. [HPO:probinson]
HP:0010507;Foot asymmetry;A difference in size or shape between the left and right foot. [HPO:curators]
HP:0010508;Metatarsus valgus;A condition in which the anterior part of the foot rotates outward away from the midline of the body and the heel remains straight. [HPO:curators]
HP:0010509;Aplasia of the tarsal bones;Absence of the tarsal bones. [HPO:curators]
HP:0010510;Hypermobility of toe joints;An ability of the toe joints to move beyond their normal range of motion. [HPO:curators]
HP:0010512;Adrenal calcification;Calcification within the adrenal glands. [HPO:probinson]
HP:0010513;Pituitary calcification;Deposition of calcium salts in the pituitary gland. [HPO:probinson]
HP:0010516;Thymus hyperplasia;Enlargement of the thymus. [HPO:curators]
HP:0010517;Ectopic thymus tissue;The presence of ectopic thymus tissue. Normally, cells of the ventral bud of the third pharyngeal pouch detach and migrate in the eighth gestational week caudally and medially towards the location of the mature thyroid. They migrate further retrosternally into the superior mediastinum. There are two main ways ectopic thymus tissue can develop. Either cells detach along the descensus path and proliferate, thereby forming accessory thymus tissue, or the entire gland fails to descend. [HPO:curators]
HP:0010518;Thyroglossal cyst;An abnormality of the thyroid gland owing to the presence of a fibrous cyst resulting from the persistence of the thyroglossal duct. [HPO:probinson]
HP:0010519;Increased fetal movement;An abnormal increase in quantity or strength of fetal movements. [HPO:curators]
HP:0010521;Gait apraxia;Gait apraxia affecting the ability to make walking movements with the legs. [HPO:curators]
HP:0010522;Dyslexia;A learning disorder characterized primarily by difficulties in learning to read and spell. Dyslectic children also exhibit a tendency to read words from right to left and to confuse letters such as b and d whose orientation is important for their identification. Children with dyslexia appear to be impaired in phonemic skills (the ability to associate visual symbols with the sounds they represent). [HPO:probinson]
HP:0010523;Alexia;An acquired type of sensory aphasia where damage to the brain leads to the loss of the ability to read. [HPO:probinson]
HP:0010525;Finger agnosia;An inability or difficulty differentiating among the fingers of either hand as well as the hands of others. [HPO:curators]
HP:0010526;Dysgraphia;A writing disability in the absence of motor or sensory deficits of the upper extremities, resulting in an impairment in the ability to write regardless of the ability to read and not due to intellectual impairment. [HPO:curators]
HP:0010527;Astereognosia;Inability to recognize the form of objects by touch without visual input. That is, an impairment in the recognition of objects based only on the texture, size, weight and three-dimensional form of the object in the absence of any major somatosensory deficit. [HPO:probinson]
HP:0010528;Prosopagnosia;Inability to recognize faces of familiar persons. [HPO:probinson]
HP:0010529;Echolalia;The tendency to repeat vocalizations made by another person. [HPO:curators]
