phenotypeId	phenotypeName	numberPapers
HP:0012230	Rhegmatogenous retinal detachment	886
HP:0007634	Nonarteritic anterior ischemic optic neuropathy	738
HP:0100654	Retrobulbar optic neuritis	752
HP:0034311	Hypoplastic optic chiasm	9
HP:0034008	Opto-chiasmatic atrophy	0
HP:0000538	Pseudopapilledema	109
HP:0012426	Optic disc drusen	511
HP:0001085	Papilledema	666
HP:0007658	Large hyperpigmented retinal spots	1
HP:0007937	Reticular pigmentary degeneration	42
HP:0009727	Achromatic retinal patches	36
HP:0007680	Depigmented fundus	38
HP:0007980	Absent retinal pigment epithelium	268
HP:0040031	Chorioretinal hyperpigmentation	20
HP:0040030	Chorioretinal hypopigmentation	22
HP:0030241	Hypoplasia of deltoid muscle	76
HP:0009785	Triceps aplasia	126
HP:0009783	Biceps aplasia	371
HP:0040191	Rectus femoris muscle atrophy	987
HP:0004058	Hand monodactyly	9
HP:0011918	Clinodactyly of the 4th toe	4
HP:0008115	Clinodactyly of the 3rd toe	4
HP:0001864	Clinodactyly of the 5th toe	12
HP:0005824	Clinodactyly of the 2nd toe	7
HP:0040022	Clinodactyly of the 2nd finger	10
HP:0040025	Clinodactyly of the 4th finger	5
HP:0040024	Clinodactyly of the 3rd finger	9
HP:0040023	Clinodactyly of the thumb	48
HP:0010441	Ectopic accessory finger-like appendage	0
HP:0006097	3-4 finger syndactyly	11
HP:0010709	2-4 finger syndactyly	6
HP:0010705	4-5 finger syndactyly	5
HP:0001233	2-3 finger syndactyly	24
HP:0010692	2-5 finger syndactyly	8
HP:0010707	1-4 finger syndactyly	2
HP:0010708	1-5 finger syndactyly	9
HP:0005872	Brachytelomesophalangy	0
HP:0005627	Type D brachydactyly	40
HP:0005863	Type E brachydactyly	95
HP:0005831	Type B brachydactyly	51
HP:0009373	Type C brachydactyly	148
HP:0005643	Short 3rd toe	0
HP:0001885	Short 2nd toe	8
HP:0011917	Short 5th toe	15
HP:0008093	Short 4th toe	11
HP:0006095	Wide tufts of distal phalanges	1
HP:0006409	Progressive leg bowing	30
HP:0030293	Fibular metaphyseal irregularity	2
HP:0045079	Distal femoral metaphyseal irregularity	8
HP:0030292	Tibial metaphyseal irregularity	19
HP:0009471	Contracture of the proximal interphalangeal joint of the 3rd finger	1
HP:0009540	Contracture of the proximal interphalangeal joint of the 2nd finger	1
HP:0009626	Contractures of the interphalangeal joint of the thumb	47
HP:0009185	Contracture of the proximal interphalangeal joint of the 5th finger	3
HP:0009276	Contracture of the proximal interphalangeal joint of the 4th finger	1
HP:0009275	Contracture of the distal interphalangeal joint of the 4th finger	0
HP:0009463	Ulnar deviation of the 3rd finger	1
HP:0009464	Ulnar deviation of the 2nd finger	3
HP:0001234	Hitchhiker thumb	11
HP:0009279	Radial deviation of the 4th finger	0
HP:0009467	Radial deviation of the 2nd finger	1
HP:0009462	Radial deviation of the 3rd finger	0
HP:0009623	Proximal placement of thumb	23
HP:0006077	Absent proximal finger flexion creases	0
HP:0006216	Single interphalangeal crease of fifth finger	0
HP:0006193	Thimble-shaped middle phalanges of hand	0
HP:0030368	Hyperphalangy of the 2nd finger	0
HP:0012299	Long distal phalanx of finger	119
HP:0006129	Drumstick terminal phalanges	0
HP:0012296	Slender distal phalanx of finger	0
HP:0006127	Long proximal phalanx of finger	146
HP:0006060	Tombstone-shaped proximal phalanges	0
HP:0012297	Slender proximal phalanx of finger	1
HP:0006147	Progressive fusion 2nd-5th pip joints	0
HP:0006163	Enlarged metacarpophalangeal joints	93
HP:0006217	Limited mobility of proximal interphalangeal joint	108
HP:0006252	Interphalangeal joint erosions	281
HP:0006019	Reduced proximal interphalangeal joint space	8
HP:0006253	Swelling of proximal interphalangeal joints	230
HP:0004267	Narrow small joints of the hand	11
HP:0006162	Soft tissue swelling of interphalangeal joints	80
HP:0006064	Limited interphalangeal movement	56
HP:0009777	Absent thumb	288
HP:0005190	Proximal finger joint hyperextensibility	3
HP:0005696	Postaxial polydactyly type A	85
HP:0006136	Bilateral postaxial polydactyly	75
HP:0001042	High axial triradius	1
HP:0004233	Advanced ossification of carpal bones	10
HP:0006176	Two carpal ossification centers present at birth	0
HP:0006067	Multiple carpal ossification centers	18
HP:0001241	Capitate-hamate fusion	7
HP:0005048	Synostosis of carpal bones	98
HP:0006207	Partial fusion of carpals	109
HP:0004236	Irregular carpal bones	30
HP:0009565	Aplasia of the distal phalanx of the 2nd finger	1
HP:0009429	Aplasia of the distal phalanx of the 3rd finger	2
HP:0009637	Absent proximal phalanx of thumb	13
HP:0009576	Absent middle phalanx of 2nd finger	3
HP:0009438	Absent middle phalanx of 3rd finger	4
HP:0009162	Absent middle phalanx of 5th finger	2
HP:0010035	Aplasia of the 1st metacarpal	4
HP:0009596	Aplasia of the proximal phalanx of the 2nd finger	2
HP:0010047	Short 5th metacarpal	23
HP:0010044	Short 4th metacarpal	23
HP:0010038	Short 2nd metacarpal	3
HP:0010034	Short 1st metacarpal	6
HP:0005720	Shortening of all metacarpals	261
HP:0006011	Cuboidal metacarpal	2
HP:0006161	Short metacarpals with rounded proximal ends	0
HP:0010041	Short 3rd metacarpal	0
HP:0010040	Aplasia of the 3rd metacarpal	6
HP:0010043	Aplasia of the 4th metacarpal	19
HP:0006040	Long second metacarpal	87
HP:0010037	Aplasia of the 2nd metacarpal	5
HP:0010046	Aplasia of the 5th metacarpal	19
HP:0011835	Absent scaphoid	29
HP:0006434	Hypoplasia of proximal radius	151
HP:0005648	Bilateral ulnar hypoplasia	4
HP:0005033	Distal ulnar hypoplasia	2
HP:0004977	Bilateral radial aplasia	382
HP:0011908	Unilateral radial aplasia	123
HP:0003997	Hypoplastic radial head	16
HP:0005060	Limited elbow flexion/extension	144
HP:0006471	Fixed elbow flexion	281
HP:0005852	Limited elbow extension and supination	132
HP:0005084	Anterior radial head dislocation	150
HP:0005050	Anterolateral radial head dislocation	18
HP:0005856	Ulnar radial head dislocation	354
HP:0006362	Varus deformity of humeral neck	26
HP:0003888	Flattened humeral heads	28
HP:0006179	Pseudoepiphyses of second metacarpal	2
HP:0009640	Synostosis of the proximal phalanx of the thumb with the 1st metacarpal	0
HP:0010017	Cone-shaped epiphysis of the 1st metacarpal	0
HP:0010022	Pseudoepiphysis of the 1st metacarpal	0
HP:0005867	4-5 metacarpal synostosis	2
HP:0009616	Bifid first metacarpal	4
HP:0006035	Cone-shaped epiphyses of phalanges 2 to 5	8
HP:0008802	Hypoplasia of the femoral head	647
HP:0100864	Short femoral neck	996
HP:0006379	Proximal tibial hypoplasia	359
HP:0005766	Disproportionate shortening of the tibia	4
HP:0006442	Hypoplasia of proximal fibula	95
HP:0006381	Rudimentary fibula	11
HP:0008804	Broad femoral head	82
HP:0008812	Flattened femoral head	99
HP:0006453	Lateral displacement of the femoral head	172
HP:0010575	Dysplasia of the femoral head	985
HP:0008829	Delayed femoral head ossification	64
HP:0008826	Dislocation of the femoral head	957
HP:0008835	Multicentric femoral head ossification	3
HP:0033985	Elongated femoral neck	36
HP:0006429	Broad femoral neck	95
HP:0002812	Coxa vara	361
HP:0008819	Narrow femoral neck	323
HP:0033102	Monkey wrench femoral neck	0
HP:0005817	Postaxial polysyndactyly of foot	35
HP:0005873	Polysyndactyly of hallux	33
HP:0010104	Absent first metatarsal	42
HP:0003090	Hypoplasia of the capital femoral epiphysis	104
HP:0008780	Congenital bilateral hip dislocation	259
HP:0034374	Trident acetabulum	23
HP:0005001	Recurrent patellar dislocation	951
HP:0007545	Congenital palmoplantar hyperkeratosis	152
HP:0005588	Patchy palmoplantar hyperkeratosis	10
HP:0007530	Punctate palmoplantar hyperkeratosis	63
HP:0000982	Palmoplantar keratoderma	543
HP:0007553	Congenital symmetrical palmoplantar keratosis	9
HP:0007465	Honeycomb palmoplantar hyperkeratosis	5
HP:0007404	Nonepidermolytic palmoplantar hyperkeratosis	20
HP:0007497	Focal friction-related palmoplantar hyperkeratosis	0
HP:0007447	Diffuse palmoplantar hyperkeratosis	186
HP:0100349	Contracture of the proximal interphalangeal joint of the 3rd toe	0
HP:0100348	Contracture of the proximal interphalangeal joint of the 2nd toe	0
HP:0100350	Contracture of the proximal interphalangeal joint of the 4th toe	0
HP:0005768	2-4 toe cutaneous syndactyly	0
HP:0005767	1-2 toe complete cutaneous syndactyly	0
HP:0005709	2-3 toe cutaneous syndactyly	8
HP:0008096	Medially deviated second toe	26
HP:0100345	Tibial deviation of the 2nd toe	0
HP:0001822	Hallux valgus	896
HP:0008080	Hallux varus	376
HP:0100347	Tibial deviation of the 5th toe	0
HP:0012386	Absent hallux	45
HP:0008111	Broad distal hallux	11
HP:0032612	Triphalangeal hallux	2
HP:0011305	Partial absence of toe	36
HP:0100482	Proximal/middle symphalangism of 5th toe	0
HP:0100481	Proximal/middle symphalangism of 4th toe	0
HP:0004696	Talipes cavus equinovarus	27
HP:0001776	Bilateral talipes equinovarus	344
HP:0001870	Acroosteolysis of distal phalanges (feet)	9
HP:0005612	Arthrogryposis-like hand anomaly	1
HP:0003089	Hamstring contractures	147
HP:0006366	Adductor longus contractures	15
HP:0003273	Hip contracture	477
HP:0005320	Lack of facial subcutaneous fat	32
HP:0009056	Loss of subcutaneous adipose tissue from upper limbs	37
HP:0030097	Absent muscle dystrophin expression	75
HP:0030117	Absent muscle fiber emerin	0
HP:0030092	Reduced muscle fiber merosin	90
HP:0030091	Absent muscle fiber merosin	17
HP:0030099	Reduced muscle fiber alpha dystroglycan	54
HP:0030046	Hypoglycosylation of alpha-dystroglycan	109
HP:0030225	Accumulation of muscle fiber desmin	90
HP:0030114	Absent muscle fiber dysferlin	8
HP:0033008	Increased Z-disc width	4
HP:0020203	Z-band streaming	16
HP:0034320	Muscle fiber intracytoplasmic reducing inclusion bodies	1
HP:0100306	Muscle fiber hyaline bodies	20
HP:0003798	Nemaline bodies	154
HP:0100301	Muscle fiber tubular inclusions	26
HP:0009055	Generalized limb muscle atrophy	509
HP:0008955	Progressive distal muscular atrophy	283
HP:0030284	Triangular tongue	100
HP:0003634	Amyoplasia	98
HP:0008935	Generalized neonatal hypotonia	811
HP:0009062	Infantile axial hypotonia	36
HP:0006852	Episodic generalized hypotonia	93
HP:0002396	Cogwheel rigidity	856
HP:0025013	Decerebrate rigidity	765
HP:0030195	Fatigable weakness of swallowing muscles	18
HP:0030194	Fatigable weakness of speech muscles	9
HP:0030198	Fatigable weakness of distal limb muscles	10
HP:0030199	Fatigable weakness of neck muscles	15
HP:0030200	Fatiguable weakness of proximal limb muscles	37
HP:0007188	Congenital facial diplegia	335
HP:0002766	Relatively short spine	982
HP:0003311	Hypoplasia of the odontoid process	216
HP:0008460	Hypoplastic spinal processes	31
HP:0010941	Aplasia of the nasal bone	862
HP:0004646	Hypoplasia of the nasal bone	935
HP:0011255	Absent crus of helix	1
HP:0009897	Horizontal crus of helix	1
HP:0009899	Prominent crus of helix	2
HP:0005841	Calcific stippling of infantile cartilaginous skeleton	0
HP:0034282	Subcutaneous ossification	998
HP:0011989	Ectopic ossification in ligament tissue	921
HP:0011987	Ectopic ossification in muscle tissue	604
HP:0011988	Ectopic ossification in tendon tissue	245
HP:0002831	Long coccyx	94
HP:0002825	Caudal appendage	230
HP:0008798	Widened greater sciatic notch	1
HP:0003185	Short greater sciatic notch	3
HP:0003375	Narrow greater sciatic notch	6
HP:0003275	Narrow pelvis bone	176
HP:0002826	Halberd-shaped pelvis	0
HP:0003278	Square pelvis bone	197
HP:0008839	Hypoplastic pelvis	70
HP:0003279	Coxa magna	52
HP:0003365	Arthralgia of the hip	401
HP:0001385	Hip dysplasia	930
HP:0006415	Cortically dense long tubular bones	1
HP:0006585	Congenital pseudoarthrosis of the clavicle	26
HP:0100734	Abnormality of vertebral epiphysis morphology	122
HP:0200003	Splayed epiphyses	2
HP:0031610	Recurrent shoulder dislocation	948
HP:0000911	Flat glenoid fossa	15
HP:0006591	Absent glenoid fossa	16
HP:0006633	Glenoid fossa hypoplasia	66
HP:0200133	Lumbosacral meningocele	102
HP:0005733	Spinal stenosis with reduced interpedicular distance	4
HP:0008445	Cervical spinal canal stenosis	843
HP:0003467	Atlantoaxial instability	928
HP:0004637	Decreased cervical spine mobility	698
HP:0010646	Cervical spine instability	966
HP:0003318	Cervical spine hypermobility	114
HP:0008462	Cervical instability	974
HP:0005877	Multiple small vertebral fractures	114
HP:0005625	Osteoporosis of vertebrae	978
HP:0008420	Punctate vertebral calcifications	11
HP:0100861	Sclerotic vertebral body	156
HP:0030041	Schmorl's node	97
HP:0002953	Vertebral compression fracture	943
HP:0100795	Abnormally straight spine	80
HP:0100595	Camptocormia	253
HP:0008441	Herniation of intervertebral nuclei	16
HP:0008419	Intervertebral disc degeneration	905
HP:0030320	Increased intervertebral space	782
HP:0003440	Horizontal sacrum	149
HP:0008455	Dysplastic sacrum	36
HP:0004608	Anteriorly placed odontoid process	0
HP:0010309	Bifid sternum	34
HP:0000893	Bulging of the costochondral junction	0
HP:0000884	Prominent sternum	57
HP:0410276	Supraumbilical raphe	45
HP:0000897	Rachitic rosary	27
HP:0006587	Straight clavicles	29
HP:0010560	Undulate clavicles	0
HP:0034187	Clavicular pseudarthrosis	81
HP:0000895	Lateral clavicle hook	54
HP:0000890	Long clavicles	613
HP:0100923	Clavicular sclerosis	28
HP:0000916	Broad clavicles	44
HP:0001474	Sclerotic scapulae	56
HP:0000912	Sprengel anomaly	125
HP:0006650	Thickening of the lateral border of the scapula	2
HP:0031233	Horizontal inferior border of scapula	7
HP:0001591	Bell-shaped thorax	45
HP:0001555	Asymmetry of the thorax	175
HP:0006644	Thoracic dysplasia	912
HP:0000886	Deformed rib cage	839
HP:0005259	Abnormal facility in opposing the shoulders	0
HP:0006596	Restricted chest movement	276
HP:0005254	Unilateral chest hypoplasia	293
HP:0000774	Narrow chest	978
HP:0000891	Cervical ribs	932
HP:0008416	Six lumbar vertebrae	996
HP:0003320	C1-C2 subluxation	324
HP:0008456	C2-C3 subluxation	58
HP:0003088	Premature osteoarthritis	473
HP:0008843	Hip osteoarthritis	822
HP:0005681	Juvenile rheumatoid arthritis	898
HP:0006185	Enlarged proximal interphalangeal joints	76
HP:0012313	Heberden's node	6
HP:0005764	Polyarticular arthritis	955
HP:0004557	Anterior vertebral fusion	979
HP:0003305	Block vertebrae	883
HP:0030039	Fused thoracic vertebrae	503
HP:0005640	Abnormal vertebral segmentation and fusion	490
HP:0008478	Scheuermann-like vertebral changes	3
HP:0020152	Distal joint laxity	963
HP:0002761	Generalized joint laxity	978
HP:0010485	Hyperextensibility at elbow	15
HP:0005072	Hyperextensibility at wrists	7
HP:0005692	Joint hyperflexibility	20
HP:0005193	Restricted large joint movement	166
HP:0009684	Stippling of the epiphysis of the distal phalanx of the thumb	0
HP:0031919	Juvenile type ovarian granulosa cell tumor	85
HP:0030983	Ovarian thecoma	245
HP:0000786	Primary amenorrhea	932
HP:0000869	Secondary amenorrhea	954
HP:0100607	Dysmenorrhea	917
HP:0033085	Reduced antral follicle count	587
HP:0031516	Oocyte arrest at metaphase I	795
HP:0200023	Priapism	757
HP:0000802	Impotence	759
HP:0012207	Reduced sperm motility	999
HP:0012208	Immotile sperm	648
HP:0034011	Reduced progressive sperm motility	896
HP:0000046	Small scrotum	397
HP:0008734	Decreased testicular size	998
HP:0000060	Clitoral hypoplasia	186
HP:0012871	Varicocele	865
HP:0003246	Prominent scrotal raphe	3
HP:0000049	Shawl scrotum	17
HP:0000048	Bifid scrotum	105
HP:0012855	Scrotal hyperpigmentation	24
HP:0008707	Absent scrotum	120
HP:0000041	Chordee	529
HP:0030261	Absent penis	233
HP:0031447	Penile freckling	27
HP:0008708	Partial development of the penile shaft	17
HP:0000040	Long penis	963
HP:0030868	Monorchism	16
HP:0100813	Testicular torsion	862
HP:0012215	Testicular microlithiasis	231
HP:0012860	Testicular fibrosis	538
HP:0012870	Vanishing testis	144
HP:0008715	Testicular dysgenesis	927
HP:0008733	Dysplastic testes	61
HP:0100796	Orchitis	866
HP:0012646	Retractile testis	107
HP:0000029	Testicular atrophy	983
HP:0034299	Sertoli cell-only phenotype	135
HP:0030011	Imperforate hymen	203
HP:0025416	Vaginal stricture	485
HP:0040314	Blind vagina	746
HP:0032565	Vaginal mucosal ulceration	69
HP:0031088	Vaginal dryness	984
HP:0031923	Hematocolpos	264
HP:0030010	Hydrometrocolpos	140
HP:0008687	Hypoplasia of the prostate	338
HP:0033808	Spermatocele	126
HP:0030424	Epididymal cyst	189
HP:0012873	Absent vas deferens	100
HP:0030997	Atretic vas deferens	0
HP:0012867	Abnormal sperm mid-piece morphology	54
HP:0010677	Enuresis nocturna	827
HP:0100525	Urachus fistula	47
HP:0010479	Patent urachus	132
HP:0012618	Urachal cyst	266
HP:0010956	Fetal megacystis	95
HP:0000021	Megacystis	312
HP:0012619	Multiple bladder diverticula	91
HP:0010477	Aplasia of the bladder	869
HP:0005343	Hypoplasia of the bladder	870
HP:0010957	Congenital posterior urethral valve	302
HP:0000808	Penoscrotal hypospadias	321
HP:0003244	Penile hypospadias	747
HP:0008743	Coronal hypospadias	164
HP:0000807	Glandular hypospadias	82
HP:0000051	Perineal hypospadias	252
HP:0012854	Midshaft hypospadias	130
HP:0012578	Membranous nephropathy	805
HP:0012579	Minimal change glomerulonephritis	826
HP:0008653	Crescentic glomerulonephritis	930
HP:0000793	Membranoproliferative glomerulonephritis	803
HP:0000103	Polyuria	819
HP:0005579	Impaired renal ltubular reabsorption of chloride	105
HP:0001994	Renal Fanconi syndrome	832
HP:4000010	Impaired renal tubular reabsorption of bicarbonate	25
HP:0004727	Impaired renal concentrating ability	339
HP:0005571	Increased renal tubular phosphate reabsorption	257
HP:0004910	Bicarbonate-wasting renal tubular acidosis	7
HP:0002049	Proximal renal tubular acidosis	806
HP:0005574	Non-acidotic proximal tubulopathy	0
HP:0012624	Stage 2 chronic kidney disease	989
HP:0012626	Stage 4 chronic kidney disease	989
HP:0003774	Stage 5 chronic kidney disease	989
HP:0012623	Stage 1 chronic kidney disease	986
HP:0012625	Stage 3 chronic kidney disease	985
HP:0002048	Renal cortical atrophy	589
HP:0012586	Bilateral renal atrophy	200
HP:0000081	Duplicated collecting system	987
HP:0000085	Horseshoe kidney	852
HP:0004717	Axial malrotation of the kidney	0
HP:0005576	Tubulointerstitial fibrosis	993
HP:0008718	Unilateral renal dysplasia	182
HP:0012582	Bilateral renal dysplasia	452
HP:0008682	Renal tubular epithelial necrosis	889
HP:0005580	Duplication of renal pelvis	122
HP:0012409	Cortical nephrocalcinosis	54
HP:0012408	Medullary nephrocalcinosis	152
HP:0000108	Renal corticomedullary cysts	81
HP:0000804	Xanthine nephrolithiasis	550
HP:0032948	Renal interstitial fibrosis	986
HP:0100581	Dilatation of renal calices	99
HP:0004719	Hyperechogenic kidneys	174
HP:0033132	Renal cortical hyperechogenicity	31
HP:0000800	Cystic renal dysplasia	282
HP:0000113	Polycystic kidney dysplasia	764
HP:0005562	Multiple renal cysts	970
HP:0008659	Multiple small medullary renal cysts	6
HP:0000003	Multicystic kidney dysplasia	672
HP:0008738	Partially duplicated kidney	32
HP:0005563	Decreased numbers of nephrons	1000
HP:0000090	Nephronophthisis	650
HP:0030037	Bifid ureter	57
HP:0008676	Congenital megaureter	162
HP:0006732	Papillary renal cell carcinoma type 2	990
HP:0031348	Dextrotransposition of the great arteries	203
HP:0005129	Congenital hypertrophy of left ventricle	349
HP:0011682	Perimembranous ventricular septal defect	760
HP:0011622	Inlet ventricular septal defect	174
HP:0011681	Subarterial ventricular septal defect	88
HP:0031971	Subaortic ventricular septal bulge	11
HP:0030682	Left ventricular noncompaction	778
HP:0011664	Left ventricular noncompaction cardiomyopathy	788
HP:0005157	Concentric hypertrophic cardiomyopathy	184
HP:0001670	Asymmetric septal hypertrophy	258
HP:0031992	Apical hypertrophic cardiomyopathy	802
HP:0011573	Hypoplastic tricuspid valve	249
HP:0030732	Dysplastic tricuspid valve	50
HP:0001704	Tricuspid valve prolapse	308
HP:0010316	Ebstein anomaly of the tricuspid valve	740
HP:0011575	Imperforate tricuspid valve	7
HP:0031655	Quadricuspid aortic valve	283
HP:0031568	Thickened aortic valve cusp	49
HP:0005182	Bicuspid pulmonary valve	459
HP:0012397	Aortic atherosclerotic lesion	998
HP:0006687	Aortic tortuosity	750
HP:0031834	Aortopulmonary collateral arteries	590
HP:0002623	Overriding aorta	123
HP:0031649	Aortic rupture	661
HP:0011604	Aortopulmonary window	773
HP:0100784	Peripheral arteriovenous fistula	708
HP:0031056	Fusiform cerebral aneurysm	964
HP:0007029	Cerebral berry aneurysm	627
HP:0100858	Dilatation of celiac artery	176
HP:0004955	Generalized arterial tortuosity	48
HP:0005302	Carotid artery tortuosity	466
HP:0033981	Vertebral artery tortuosity	166
HP:0031014	Arteria lusoria	205
HP:0031252	Dilated left subclavian artery	243
HP:0005177	Premature arteriosclerosis	930
HP:0031304	Iliac arterial calcification	480
HP:4000067	Iliac artery aneurysm	838
HP:0005145	Coronary artery stenosis	839
HP:0005292	Intimal thickening in the coronary arteries	400
HP:0030882	Coronary artery aneurysm	633
HP:0006702	Coronary artery dissection	770
HP:0031157	Carotid cavernous fistula	814
HP:0012273	Increased carotid artery intimal medial thickness	197
HP:0100546	Carotid artery stenosis	869
HP:0012163	Carotid artery dilatation	971
HP:0012474	Carotid artery occlusion	929
HP:0033982	Celiac artery dissection	725
HP:0020118	Radial artery aplasia	398
HP:0034179	Vertebral artery aneurysm	827
HP:0020038	Vertebrobasilar dolichoectasia	777
HP:0031684	Renal artery atherosclerosis	885
HP:0001920	Renal artery stenosis	814
HP:0033261	Renal artery aneurysm	819
HP:0012494	Anterior cerebral artery stenosis	930
HP:0012493	Middle cerebral artery stenosis	940
HP:0012495	Posterior cerebral artery stenosis	795
HP:0031313	Abdominal aortic calcification	944
HP:0012457	Medial calcification of medium-sized arteries	14
HP:0004966	Medial calcification of large arteries	81
HP:0012666	Severely reduced left ventricular ejection fraction	985
HP:0012665	Moderately reduced left ventricular ejection fraction	995
HP:0034386	Reduced left ventricular endsystolic diameter	362
HP:0006684	Ventricular preexcitation with multiple accessory pathways	22
HP:0001716	Wolff-Parkinson-White syndrome	639
HP:0006696	Polymorphic and polytopic ventricular extrasystoles	0
HP:0005147	Bidirectional ventricular ectopy	31
HP:0011700	Automatic atrial tachycardia	771
HP:0011701	Multifocal atrial tachycardia	75
HP:0011699	Atrial reentry tachycardia	834
HP:0005184	Prolonged QTc interval	997
HP:0025075	Increased QRS voltage	374
HP:0011705	First degree atrioventricular block	878
HP:0011712	Right bundle branch block	841
HP:0011715	Trifascicular block	43
HP:0003574	Positive regitine blocking test	3
HP:0004937	Pulmonary artery aneurysm	603
HP:0004969	Peripheral pulmonary artery stenosis	350
HP:0000214	Lip telangiectasia	43
HP:0007428	Telangiectasia of the oral mucosa	62
HP:0002707	Palate telangiectasia	25
HP:0000227	Tongue telangiectasia	62
HP:0005598	Facial telangiectasia in butterfly midface distribution	0
HP:0007421	Telangiectases of the cheeks	25
HP:0007466	Midfrontal capillary hemangioma	0
HP:0007601	Midline facial capillary hemangioma	4
HP:0007452	Midface capillary hemangioma	0
HP:0500230	Increased CSF glycine concentration	45
HP:0034390	Decreased CSF glycine concentration	22
HP:0500228	Decreased CSF serine concentration	29
HP:0500233	Increased CSF alanine concentration	25
HP:0500198	Decreased CSF glutamine concentration	31
HP:0500204	Decreased CSF arginine concentration	35
HP:0500210	Increased CSF methionine concentration	24
HP:0500208	Increased CSF lysine concentration	16
HP:0500187	Increased CSF valine concentration	11
HP:0500191	Increased CSF leucine concentration	19
HP:0500193	Increased CSF isoleucine concentration	3
HP:0003131	Cystinuria	542
HP:0032352	Methioninuria	0
HP:0002156	Homocystinuria	849
HP:0032401	Aspartic aciduria	36
HP:0003296	Hyperthreoninuria	0
HP:0003297	Hyperlysinuria	0
HP:0025376	Hyperglutaminuria	0
HP:0003268	Argininuria	1
HP:0003108	Hyperglycinuria	8
HP:0003150	Glutaric aciduria	641
HP:0008309	Medium chain dicarboxylic aciduria	12
HP:0003219	Ethylmalonic aciduria	31
HP:0033213	Elevated urine suberic acid level	1
HP:0008293	Long-chain dicarboxylic aciduria	11
HP:0012120	Methylmalonic aciduria	916
HP:0410051	Increased level of 3-hydroxy-3-methylglutaric acid in urine	4
HP:0410153	Increased level of methylsuccinic acid in urine	4
HP:0008160	3-hydroxydicarboxylic aciduria	4
HP:0033092	Increased urine succinate level	159
HP:0012217	Increased urinary porphobilinogen	156
HP:0033704	Elevated urinary homogentisic acid	9
HP:0040155	Elevated urinary 3-hydroxybutyric acid	25
HP:0032528	Elevated urinary 4-hydroxybutyric acid	1
HP:0003642	Type I transferrin isoform profile	15
HP:0012301	Type II transferrin isoform profile	5
HP:0012363	Decreased sialylation of O-linked protein glycosylation	30
HP:0100502	Vitamin B12 deficiency	772
HP:0003223	Decreased methylcobalamin	125
HP:0003145	Decreased adenosylcobalamin	64
HP:0032164	Increased blood folate concentration	997
HP:0100507	Reduced blood folate concentration	804
HP:0033340	Increased circulating guanosine concentration	108
HP:0010933	Hyperxanthinemia	0
HP:0033339	Increased circulating inosine concentration	17
HP:0034333	Increased circulating hypoxanthine concentration	29
HP:0002918	Hypermagnesemia	345
HP:0002917	Hypomagnesemia	892
HP:0032098	Hypomanganesemia	1
HP:0032097	Hypermanganesemia	58
HP:0011967	Decreased circulating copper concentration	86
HP:0032254	Increased circulating copper concentration	163
HP:0010838	High nonceruloplasmin-bound serum copper	1
HP:0031831	Decreased serum zinc	999
HP:0011424	Increased serum zinc	1000
HP:0002153	Hyperkalemia	656
HP:0002902	Hyponatremia	710
HP:0003228	Hypernatremia	741
HP:0012238	Increased circulating chylomicron concentration	45
HP:0003362	Increased VLDL cholesterol concentration	999
HP:0003233	Decreased HDL cholesterol concentration	999
HP:0012184	Increased HDL cholesterol concentration	996
HP:0003141	Increased LDL cholesterol concentration	996
HP:0030390	Reduced circulating leukotriene C4 concentration	1
HP:0010571	Elevated circulating phytanic acid concentration	2
HP:0030234	Highly elevated creatine kinase	254
HP:0030235	Extremely elevated creatine kinase	128
HP:0008331	Elevated creatine kinase after exercise	467
HP:0008180	Mildly elevated creatine kinase	102
HP:0025347	Decreased circulating beta-2-microglobulin level	29
HP:0012239	Atransferrinemia	22
HP:0032386	Elevated circulating transferrin concentration	45
HP:0010906	Hyperhistidinemia	14
HP:0008344	Elevated plasma branched chain amino acids	440
HP:0011966	Elevated plasma citrulline	282
HP:0003572	Low plasma citrulline	259
HP:0410053	Elevated circulating gamma-aminobutyric acid concentration	10
HP:0410054	Decreased circulating GABA concentration	45
HP:0500163	Hypoornithinemia	4
HP:0012026	Hyperornithinemia	208
HP:0200150	Increased serum bile acid concentration during pregnancy	69
HP:0034048	Decreased circulating chenodeoxycholic acid concentration	17
HP:0002908	Conjugated hyperbilirubinemia	641
HP:0003265	Neonatal hyperbilirubinemia	804
HP:0003573	Increased total bilirubin	998
HP:0008282	Unconjugated hyperbilirubinemia	746
HP:0008176	Neonatal unconjugated hyperbilirubinemia	344
HP:0004914	Recurrent infantile hypoglycemia	23
HP:0033087	Quotidian fever	28
HP:0011924	Decreased activity of mitochondrial complex III	630
HP:0008347	Decreased activity of mitochondrial complex IV	1000
HP:0008314	Decreased activity of mitochondrial complex II	889
HP:0011923	Decreased activity of mitochondrial complex I	781
HP:0011925	Decreased activity of mitochondrial ATP synthase complex	260
HP:0004433	Secretory IgA deficiency	233
HP:0031268	Decreased CD69 upregulation upon TCR activation	18
HP:0002290	Poliosis	120
HP:0002211	White forelock	59
HP:0011364	White hair	946
HP:0002286	Fair hair	300
HP:0002218	Silver-gray hair	6
HP:0025325	Sparse medial eyebrow	13
HP:0005338	Sparse lateral eyebrow	36
HP:0010813	Abnormal number of hair whorls	4
HP:0010814	Abnormal position of hair whorl	1
