phenotype1	phenotype2	lin
Ethmoidal encephalocele	Congenital hemolytic anemia	3.993272169545075e-05
Adducted thumb	Scapuloperoneal amyotrophy	0.08353570028090504
Progressive flexion contractures	Nonprogressive visual loss	4.1527089114850486e-05
Absent hand	Dorsal subluxation of ulna	0.16970524334505202
Depression	Accumulation of muscle fiber desmin	0.0001634119577200808
Volvulus	Extrapulmonary tuberculosis	4.577027209409902e-05
Nonprogressive cerebellar ataxia	Exudative retinopathy	4.5466147121112386e-05
Hypothalamic gonadotropin-releasing hormone deficiency	Posterior vertebral hypoplasia	4.2520165072717376e-05
Limb fasciculations	Unicornuate uterus	4.433252921306609e-05
Absent pulmonary artery	Myocardial calcification	0.19529030266072303
Tongue fasciculations	Cleft mandible	0.11811893270563889
Aortic arch calcification	Laryngeal calcification	0.45240609561316214
Anemic pallor	Renotubular dysgenesis	4.384100649655963e-05
Congenital fibrosis of extraocular muscles	Myocardial calcification	0.06615007434517674
Urinary hesitancy	Type 2 muscle fiber predominance	4.754448578692532e-05
Numerous pigmented freckles	Thyroid C cell hyperplasia	4.2520165072717376e-05
Premature coronary artery atherosclerosis	Agyria	5.4830288020923946e-05
Pulmonary hypoplasia	Prominent calcaneus	5.851547044717184e-05
Diffuse leukoencephalopathy	Type A1 brachydactyly	4.63062709617351e-05
Severe T-cell immunodeficiency	Renal angiomyolipoma	4.577027209409902e-05
Congenital blindness	Methemoglobinemia	4.982193529809303e-05
Decreased cranial base ossification	Isosexual precocious puberty	3.993272169545075e-05
Small forehead	Hyperostosis frontalis interna	0.1069347036931633
Absent humerus	Congenital hypoparathyroidism	9.093229424222477e-05
Increased LDL cholesterol concentration	Increased placental thickness	0.00011639875847926845
Female external genitalia in individual with 46,XY karyotype	Salt craving	4.433252921306609e-05
Cartilaginous ossification of larynx	D-2-hydroxyglutaric aciduria	4.325406564155514e-05
Distal shortening of limbs	Increased insulin like growth factor binding protein acid labile subunit concentration	4.1527089114850486e-05
Microangiopathic hemolytic anemia	Mild proteinuria	4.9419676286838104e-05
Transient ischemic attack	Posterior lenticonus	4.6048912897620735e-05
Homocystinuria	Undetectable visual evoked potentials	5.164509580017892e-05
Cystic renal dysplasia	Mandibular osteolysis	4.577027209409902e-05
Bone pain	Unilateral renal dysplasia	5.1121044803246014e-05
Endocardial fibroelastosis	Peroneal muscle weakness	5.08325315417379e-05
Oral leukoplakia	Nonproductive cough	0.0001214546408265929
Jejunal atresia	Congenitally corrected transposition of the great arteries with ventricular septal defect	4.577027209409902e-05
Increased total bilirubin	Steroid-dependent nephrotic syndrome	4.5466147121112386e-05
Prolonged partial thromboplastin time	Hemifacial spasm	5.139110160925746e-05
11 pairs of ribs	Episodic hemiplegia	4.952414116553882e-05
Short chin	Anterior segment of eye aplasia	5.105075200522169e-05
Hyperkalemic metabolic acidosis	Hyponasal speech	3.993272169545075e-05
Hypertelorism	Cerebrospinal fluid rhinorrhoea	0.000286637539318853
Hypoplasia of the thymus	Skull asymmetry	5.3526348262195045e-05
Hashimoto thyroiditis	Optic nerve aplasia	4.982193529809303e-05
Mild short stature	Laryngeal atresia	5.035839919835104e-05
Mitral regurgitation	Episodic vomiting	6.939441458791331e-05
Cortical sclerosis	Pigmentation of the sclera	4.325406564155514e-05
Frontal bossing	Bilateral choanal atresia/stenosis	0.1564967948829062
Elevated erythrocyte sedimentation rate	Radial artery aplasia	0.00013377166185093035
Ependymoma	Mild short stature	5.3801943908288434e-05
Congenital hypothyroidism	Slowed horizontal saccades	4.771461865001634e-05
Rocker bottom foot	Irregularity of vertebral bodies	0.11391852684781932
Low frustration tolerance	Dysplastic corpus callosum	0.08889685832117929
Meckel diverticulum	Olivopontocerebellar hypoplasia	4.9202003447767416e-05
Susceptibility to chickenpox	Bilateral renal hypoplasia	4.2520165072717376e-05
Large basal ganglia	Severe intrauterine growth retardation	4.513091349926087e-05
Limb ataxia	Oral melanotic macule	5.164509580017892e-05
Persistent bleeding after trauma	Localized epidermolytic hyperkeratosis	4.6048912897620735e-05
Lethal skeletal dysplasia	Hyperkalemic metabolic acidosis	4.384100649655963e-05
Developmental cataract	Congenital nephrotic syndrome	5.331903917150742e-05
Anhidrotic ectodermal dysplasia	Hypoplasia of the ear cartilage	4.2520165072717376e-05
Female infertility	Scleral thickening	5.068044793030368e-05
Subependymal cysts	Laryngeal web	5.035839919835104e-05
Neuromuscular dysphagia	Bilateral facial palsy	0.0
Distal tapering femur	Sirenomelia	0.3246422883004406
Stomatocytosis	Episodic hemolytic anemia	0.36964025989280924
Deposits immunoreactive to beta-amyloid protein	Verruca plana	4.1527089114850486e-05
Acanthosis nigricans	Decreased circulating renin level	5.88729056821247e-05
Bulbar palsy	Severe SARS-CoV-2 infection	4.952414116553882e-05
Large sella turcica	Caudal appendage	0.14589737238700295
Upper limb postural tremor	Absent scrotum	4.5466147121112386e-05
Coxa vara	Disseminated nontuberculous mycobacterial infection	5.132517819247823e-05
Vaginal atresia	Centrally nucleated skeletal muscle fibers	6.024366357721661e-05
Lacrimal gland hypoplasia	Severe postnatal growth retardation	5.112104480324602e-05
Congenital pyloric atresia	Substantia nigra gliosis	4.7178026931581885e-05
Atrophic gastritis	Severe varicella zoster infection	5.258480685017681e-05
Subperiosteal bone resorption	Rickets of the lower limbs	0.1285598012110734
Anal atresia	Emotional blunting	5.310200520062155e-05
Restrictive behavior	Old-aged sensorineural hearing impairment	4.63062709617351e-05
Fetal ascites	Neoplasm of the pharynx	0.00010181308346727092
Hepatic periportal necrosis	Decreased expression of GPI-anchored proteins on the cell surface	3.993272169545075e-05
Subarachnoid hemorrhage	Blue cone monochromacy	4.5466147121112386e-05
Thickened calvaria	Avascular necrosis of the capital femoral epiphysis	0.1363243876353947
Progressive distal muscular atrophy	Cutis marmorata telangiectatica congenita	4.325406564155514e-05
Eruptive xanthomas	Follicular thyroid carcinoma	4.325406564155514e-05
Chronic lymphatic leukemia	Increased circulating chylomicron concentration	4.63062709617351e-05
Humerus varus	Pulmonary lymphangiectasia	9.964387059618607e-05
Degeneration of anterior horn cells	Enlarged lacrimal glands	4.654557084673223e-05
Carious teeth	Restrictive behavior	6.451662807078108e-05
Patellar hypoplasia	Hypoplastic left heart	6.0010382147813336e-05
Juvenile gastrointestinal polyposis	Chronotropic incompetence	3.993272169545075e-05
Incomprehensible speech	Dysplastic patella	4.1527089114850486e-05
Maternal hypertension	T2 hypointense basal ganglia	4.325406564155514e-05
Intrahepatic biliary atresia	Congenital foot contractures	4.513091349926087e-05
Fundus atrophy	Respiratory failure	5.885845010219931e-05
Recurrent myoglobinuria	Overjet	4.1527089114850486e-05
Annular pancreas	Cold paresis	4.577027209409902e-05
Short neck	Decreased T cell activation	6.7792837922069e-05
Multinodular goiter	Mandibular condyle aplasia	4.513091349926087e-05
Expressive aphasia	Positive Phalen test	0.06511481220502778
Papilledema	Wrist drop	5.08325315417379e-05
Anteverted nares	Reticulocytosis	8.266119211510853e-05
Exudative retinopathy	Epileptic encephalopathy	5.851547044717184e-05
Facial erythema	Hypoglycemic seizures	5.360675626316975e-05
Rectoperineal fistula	Hypertrophied muscle fibers	4.2520165072717376e-05
Hyperplasia of the femoral trochanters	Alternating exotropia	4.325406564155514e-05
Dysplastic corpus callosum	Tibialis muscle weakness	4.8726132196001617e-05
Obstructive sleep apnea	Delayed peripheral myelination	0.07855573125468453
Cloverleaf skull	Absent Achilles reflex	5.686289423158692e-05
Episodic respiratory distress	Juvenile colonic polyposis	7.98654433909015e-05
Hydronephrosis	Transient global amnesia	0.00017769833417431683
Mandibular condyle aplasia	Subretinal pigment epithelium hemorrhage	8.650813128311028e-05
Writer's cramp	Chronic lymphocytic meningitis	0.07397552848834581
Enlarged proximal interphalangeal joints	Peripheral arteriovenous fistula	8.650813128311028e-05
Cerebellar vermis atrophy	Abnormal alpha granule content	4.9312355433677e-05
Premature coronary artery atherosclerosis	Nodular corneal dystrophy	4.5466147121112386e-05
Sensorimotor neuropathy	Severe influenza infection	5.2634344611296555e-05
Exercise-induced muscle stiffness	Knee joint hypermobility	0.1472726250152923
Sclerotic vertebral endplates	Lacrimal gland aplasia	4.513091349926087e-05
Superficial thrombophlebitis	Leg dystonia	4.7877152157943535e-05
Late-onset distal muscle weakness	Aminoglycoside-induced hearing loss	4.2520165072717376e-05
Rib segmentation abnormalities	4-layered lissencephaly	4.1527089114850486e-05
Joint hemorrhage	Cold urticaria	0.16533417123158003
Caudate atrophy	Persistent EBV viremia	5.258480685017681e-05
Myxoid subcutaneous tumors	Mandibular osteomyelitis	4.1527089114850486e-05
Humerus varus	Fibrocystic lung disease	7.98654433909015e-05
Relatively short spine	Increased alpha-globulin	3.993272169545075e-05
Calcification of the small brain vessels	Vestibular areflexia	4.577027209409902e-05
Prominent nipples	Increased sputum production	4.1527089114850486e-05
Odontodysplasia	Cystinuria	4.433252921306609e-05
Type B brachydactyly	Coronal hypospadias	4.433252921306609e-05
Hyposthenuria	Laryngeal papilloma	4.63062709617351e-05
Hypochloremia	Paracentral scotoma	4.9202003447767416e-05
Facial hypotonia	Retinal nerve fiber edema	4.972512993112043e-05
Macular hypoplasia	Aplasia of the tarsal bones	4.6048912897620735e-05
Contractures of the large joints	Peripheral hypomyelination	4.8463948876835354e-05
Perineal hypospadias	Hypothalamic hypothyroidism	4.433252921306609e-05
Abnormal mitochondria in muscle tissue	EBV encephalitis	4.1527089114850486e-05
Permanent atrial fibrillation	Perianal dermatitis	4.577027209409902e-05
Agenesis of incisor	Pseudobulbar paralysis	5.498236436259655e-05
Brisk reflexes	Abnormal mitochondria in muscle tissue	5.4922095118516023e-05
Limb ataxia	Clumsiness	0.4410147952700396
Postnatal macrocephaly	Hepatocellular adenoma	4.325406564155514e-05
Gallbladder dysfunction	Blake's pouch cyst	3.993272169545075e-05
Adrenogenital syndrome	Myelin outfoldings	4.9202003447767416e-05
Poliosis	Progressive language deterioration	4.433252921306609e-05
Fetal polyuria	Axial muscle weakness	5.0979265990792815e-05
Hypothalamic gonadotropin-releasing hormone deficiency	Hypoplasia of the antihelix	9.093229424222477e-05
Adducted thumb	Oculomotor synkinesis	5.097926599079281e-05
Reticulocytosis	Supernumerary nipple	6.614599986844559e-05
Thromboembolic stroke	Left aortic arch with retroesophageal right subclavian artery	4.1527089114850486e-05
Ovarian papillary adenocarcinoma	Renal sodium wasting	0.14703176597219317
Penetrating foot ulcers	Adrenal pheochromocytoma	4.2520165072717376e-05
Ulnar radial head dislocation	Decreased serum insulin-like growth factor 1	4.63062709617351e-05
Fluctuations in consciousness	Anisometropia	4.325406564155514e-05
Chronic tubulointerstitial nephritis	Moderate postnatal growth retardation	4.1527089114850486e-05
Generalized hyperkeratosis	Limited elbow extension and supination	4.1527089114850486e-05
Cervical cord compression	Dextrotransposition of the great arteries	4.972512993112043e-05
Thenar muscle atrophy	Keratoacanthoma	4.676934355271362e-05
Hypoplasia of the uterus	Malaise	4.991645038542758e-05
Agenesis of cerebellar vermis	Broad ischia	5.253471651082554e-05
Renal salt wasting	Portal vein thrombosis	4.96259101477913e-05
Hypermethioninemia	Elevated urinary epinephrine	0.16168556784678761
Depression	Enlarged vestibular aqueduct	5.8422488841236266e-05
Large forehead	Macroscopic hematuria	5.000878978756325e-05
Short femur	Lens luxation	5.5187717181913105e-05
Hypoplasia of the pyramidal tract	Deuteranomaly	3.993272169545075e-05
Biliary tract obstruction	Serrated intestinal polyps	0.1360794271045918
Progressive alopecia	Inflammatory myopathy	4.1527089114850486e-05
Syringomyelia	Neoplasm of the gallbladder	0.00011639875847926845
Frontal lobe dementia	Multiple renal cysts	4.9202003447767416e-05
Male infertility	Hepatic vascular malformations	5.273181452598613e-05
Anodontia	Narrow jaw	0.11292744175689702
Anal atresia	Cardiac myxoma	5.7777372208662166e-05
Hereditary nonpolyposis colorectal carcinoma	Hemifacial hypoplasia	4.846394887683536e-05
Submucous cleft lip	Unilateral conductive hearing impairment	3.993272169545075e-05
Absent hand	Cortical tubers	4.2520165072717376e-05
Coxa magna	Shortening of all middle phalanges of the fingers	0.1852119390269672
Frequent Giardia lamblia infestation	Long upper lip	4.676934355271362e-05
Hemoptysis	Narrow joint spaces of the elbow	0.00011156653281398589
Diaphragmatic paralysis	Ectopic posterior pituitary	0.07714914006497996
Hyperkeratosis with erythema	Narcolepsy	4.384100649655963e-05
Endocardial fibroelastosis	Upper limb postural tremor	4.982193529809303e-05
Generalized papillary lesions	Freezing of gait	3.993272169545075e-05
Multiple pterygia	Distal tapering femur	0.0976956338595143
Asplenia	Decreased platelet glycoprotein IIb-IIIa	5.08325315417379e-05
Peroneal muscle atrophy	Quadricuspid aortic valve	4.433252921306609e-05
Exaggerated startle response	Increased waist to hip ratio	5.018735786356822e-05
Insulin-resistant diabetes mellitus at puberty	Left anterior fascicular block	4.676934355271362e-05
Episodic metabolic acidosis	Subcutaneous calcification	4.7877152157943535e-05
Osteosarcoma	Deep cerebral white matter hyperintensities	0.00010875500214216927
Increased hepatocellular lipid droplets	Astasia	8.650813128311028e-05
Spasticity of facial muscles	Decreased thyroid-stimulating hormone level	0.07260860806422954
Lateral femoral bowing	Inferior cerebellar vermis hypoplasia	5.018735786356822e-05
Pancreatic hypoplasia	Hyperplastic colonic polyposis	0.15597214866763856
Long face	Impaired myocardial contractility	6.195181365839682e-05
Lumbar kyphoscoliosis	Hypoplasia of right ventricle	4.433252921306609e-05
Fundus atrophy	Increased hepatocellular lipid droplets	4.513091349926087e-05
Asplenia	Thick nasal septum	4.8463948876835354e-05
Recurrent Burkholderia cepacia infections	Poor appetite	4.982193529809304e-05
Calcium oxalate nephrolithiasis	Decreased urinary potassium	0.2079848708832925
Curly hair	Generalized papillary lesions	0.15920061907369543
Obstructive sleep apnea	Osteopoikilosis	5.2634344611296555e-05
Thick skull base	Increased hepatic glycogen content	4.676934355271362e-05
Peripheral nerve compression	Dysplastic corpus callosum	0.14529832523511946
Hypochloremia	Onychomadesis	4.63062709617351e-05
Small anterior fontanelle	Annular cutaneous lesion	4.433252921306609e-05
Increased circulating prolactin concentration	Abdominal mass	4.475678658742209e-05
Increased variability in muscle fiber diameter	Absent corneal reflex	5.549426932977545e-05
Glossoptosis	Absence seizure with eyelid myoclonia	4.697961363490384e-05
Gastroschisis	Fine hair	5.651980813194554e-05
Arachnodactyly	Progeroid facial appearance	6.758761484291282e-05
Pulmonic valve myxoma	Hidrotic ectodermal dysplasia	4.2520165072717376e-05
Reduced delayed hypersensitivity	Laryngeal cartilage malformation	9.964387059618607e-05
Emotional lability	Aplasia of the bladder	5.527319809339079e-05
Uterine leiomyoma	Adenocarcinoma of the colon	0.3190293301233306
Corneal scarring	Irritability	6.596846318315729e-05
Retinal arteriolar tortuosity	Muscle fiber splitting	5.2112345158839354e-05
Spondylometaphyseal dysplasia	Dysmenorrhea	4.8463948876835354e-05
Atrophic gastritis	Recurrent meningococcal disease	5.035839919835104e-05
Limited wrist extension	Dyslexia	4.5466147121112386e-05
Pierre-Robin sequence	Monocytopenia	5.647530993380747e-05
Decreased sensitivity to hypoxemia	Palmoplantar scaling skin	3.993272169545075e-05
Forearm reduction defects	Central retinal vessel vascular tortuosity	4.433252921306609e-05
Mastoiditis	Prolonged bleeding after dental extraction	4.9202003447767416e-05
Frontal cortical atrophy	Congenital palmoplantar hyperkeratosis	4.754448578692532e-05
Inflexible adherence to routines or rituals	Peripheral retinal atrophy	5.112104480324602e-05
Low cholesterol esterification rate	Intestinal inflammation	4.1527089114850486e-05
Rectal abscess	Impaired distal proprioception	5.2731814525986136e-05
Gingival hyperkeratosis	Cyst of the ductus choledochus	4.1527089114850486e-05
Premature occlusive vascular stenosis	Enlarged labia minora	4.2520165072717376e-05
Rheumatoid factor positive	Pancreatic fibrosis	5.232854831112207e-05
Increased serum pyruvate	Motor regression	5.83754181984074e-05
Trophic limb changes	Cochlear degeneration	4.325406564155514e-05
Bilateral tonic-clonic seizure on awakening	Type II pneumocyte hyperplasia	4.2520165072717376e-05
Heparan sulfate excretion in urine	Postaxial polydactyly type A	4.885073886735671e-05
Giant somatosensory evoked potentials	Subarachnoid hemorrhage	0.07812119822928391
Broad philtrum	Pericardial constriction	4.771461865001634e-05
Thick upper lip vermilion	Hypoalbuminemia	6.762284590925186e-05
Wide humerus	Reduced hemoglobin A	7.98654433909015e-05
Acute promyelocytic leukemia	Iris cyst	4.2520165072717376e-05
Butterfly vertebrae	Positive Phalen test	4.7365940235228194e-05
Proximal femoral epiphysiolysis	Hypertensive crisis	4.433252921306609e-05
Nail pits	Premature delivery because of cervical insufficiency or membrane fragility	4.6048912897620735e-05
Absent speech	Adrenal calcification	5.868207813992507e-05
Urethrovaginal fistula	Elevated brain lactate level by MRS	4.754448578692532e-05
Renal cortical microcysts	Open angle glaucoma	5.08325315417379e-05
Poor head control	Left ventricular outflow tract obstruction	5.995061791894048e-05
Expressive aphasia	Anterior tibial bowing	4.433252921306609e-05
Reduced pancreatic beta cells	Focal active colitis	0.1360794271045918
Odontodysplasia	Cleft in skull base	0.09412616971405055
Hamstring contractures	Folate-unresponsive megaloblastic anemia	4.325406564155514e-05
Mitral annular calcification	Transient hyperlipidemia	3.993272169545075e-05
Laryngeal stridor	Priapism	4.433252921306609e-05
Periorbital hyperpigmentation	Hypergastrinemia	4.325406564155514e-05
Hypoplasia of the thymus	Generalized arterial calcification	0.22053891282190358
Episodic generalized hypotonia	Cerebellar hemangioblastoma	4.1527089114850486e-05
Chronic axonal neuropathy	Generalized limb muscle atrophy	4.846394887683536e-05
Coxa vara	Elevated circulating luteinizing hormone level	6.682542867337615e-05
Ventricular escape rhythm	Irregular respiration	4.325406564155514e-05
Tegumentary leishmaniasis susceptibility	Diaphyseal dysplasia	4.2520165072717376e-05
Sudanophilic leukodystrophy	Progressive ventriculomegaly	0.13111624298372898
Congenital hypothyroidism	Acute kidney injury	5.7470804838575665e-05
Hypnagogic hallucinations	Multinodular goiter	4.513091349926087e-05
Refractory macrocytic anemia	Fluctuations in consciousness	3.993272169545075e-05
Poor gross motor coordination	Decreased circulating ferritin concentration	4.433252921306609e-05
Hemimegalencephaly	Bursitis	4.754448578692532e-05
Thoracic hemivertebrae	Nodular regenerative hyperplasia of liver	4.577027209409902e-05
Malrotation of colon	Retroperitoneal fibrosis	0.14739762837447118
Glyoxalase deficiency	Sleep onset insomnia	4.513091349926087e-05
Recurrent paroxysmal headache	Peripheral nerve compression	0.06951376501008816
Hyperphosphaturia	Progressive hyperpigmentation	4.697961363490384e-05
Osteoarthritis of the distal interphalangeal joint	Pansynostosis	0.08898638214610302
Chronic metabolic acidosis	Recurrent thromboembolism	3.993272169545075e-05
Platybasia	Progeroid facial appearance	5.532938464517967e-05
Weak cry	Left ventricular noncompaction cardiomyopathy	5.8034398621410633e-05
Bilateral tonic-clonic seizure on awakening	Central cyanosis	4.2520165072717376e-05
Square pelvis bone	Small sella turcica	0.10318924803042878
Absent humerus	Cerebral vasculitis	9.093229424222477e-05
Nonspherocytic hemolytic anemia	Increased size of the mandible	4.676934355271362e-05
Aspiration	Unilateral vestibular schwannoma	4.96259101477913e-05
Electron transfer flavoprotein-ubiquinone oxidoreductase defect	Medial rotation of the medial malleolus	3.993272169545075e-05
Myelin outfoldings	Radially deviated wrists	4.433252921306609e-05
Muscle hyperirritability	Progressive gait ataxia	4.577027209409902e-05
Systemic lupus erythematosus	Colpocephaly	5.8741474876630374e-05
Basal ganglia calcification	Hypersensitivity pneumonitis	4.991645038542758e-05
Short fifth metatarsal	Increased urine succinate level	4.577027209409902e-05
Chronic calcifying pancreatitis	Antalgic gait	0.0
Glutaric aciduria	Pili torti	5.200013425095543e-05
Mandibular prognathia	Oligohydramnios	8.603548648794975e-05
Wide humerus	Urinary bladder inflammation	7.98654433909015e-05
Prelingual sensorineural hearing impairment	Perimembranous ventricular septal defect	5.756276621725458e-05
Babinski sign	Hepatic arteriovenous malformation	6.311943539413642e-05
Keratoconus	Rib exostoses	5.2484059942904394e-05
Short diaphyses	Decreased CD4:CD8 ratio	4.787715215794353e-05
Juvenile gastrointestinal polyposis	Encopresis	0.14151258056407312
Acute myeloid leukemia	Reduced euglobulin clot lysis time	0.6211411053694087
Acute pancreatitis	Ewing sarcoma	4.676934355271362e-05
Basal ganglia calcification	Circulating nucleated red blood cells	4.991645038542758e-05
Right ventricular failure	Social and occupational deterioration	4.325406564155514e-05
Photophobia	Onychauxis	5.8247939437248004e-05
Gingival fibromatosis	Exercise-induced muscle stiffness	5.232854831112207e-05
Dental crowding	Acute pancreatitis	6.210651891677272e-05
Overlapping toe	Decreased level of plasminogen	5.158299010795811e-05
Diabetic ketoacidosis	Dysfunction of lateral corticospinal tracts	4.475678658742209e-05
Wormian bones	High myoinositol in brain by MRS	5.17666923135561e-05
Reduced protein C activity	Absence of subcutaneous fat	4.9419676286838104e-05
Frontal release signs	Loss of facial expression	4.384100649655963e-05
Severe hydrocephalus	Fragmented elastic fibers in the dermis	7.98654433909015e-05
Primary hypercortisolism	Long hallux	5.2112345158839354e-05
Hypoplasia of the epiglottis	Incisor macrodontia	5.090654173363546e-05
Absent external genitalia	Coronary artery calcification	4.63062709617351e-05
Epicanthus inversus	Broad ischia	5.139110160925746e-05
Supranuclear ophthalmoplegia	Hypercalciuria	5.5216373639454305e-05
Protuberant abdomen	Skeletal myopathy	4.982193529809303e-05
Round face	Pulmonary insufficiency	6.429333476987385e-05
Cerebral venous thrombosis	Atrial cardiomyopathy	4.63062709617351e-05
Reduced dihydropyrimidine dehydrogenase level	Pituitary growth hormone cell adenoma	4.1527089114850486e-05
Impaired collagen-induced platelet aggregation	Increased circulating free T3	4.818212141725109e-05
Retinal calcification	Increased urine deoxypyridinoline level	4.1527089114850486e-05
Positive Romberg sign	Increased VLDL cholesterol concentration	5.434348495495776e-05
Broad palm	Increased density of long bone diaphyses	0.1542390337102457
Spastic diplegia	Narrow palm	5.846917057817125e-05
Increased renal tubular phosphate reabsorption	Infantile sensorineural hearing impairment	7.98654433909015e-05
Stroke-like episode	Dysmenorrhea	4.717802693158188e-05
Progressive distal muscle weakness	Pneumocystis jirovecii pneumonia	4.63062709617351e-05
Susceptibility to chickenpox	Aplasia of the parotid gland	3.993272169545075e-05
Nail pits	Broad nail	0.5747305277057178
Butterfly vertebrae	Irregular metacarpals	0.1055506231362554
Increased serum serotonin	Generalized seborrheic dermatitis	4.475678658742209e-05
Lacrimal duct atresia	Nongranulomatous uveitis	4.433252921306609e-05
Hypophosphatemic rickets	Soft tissue swelling of interphalangeal joints	0.10422116253043381
Cervical instability	Premature adrenarche	4.433252921306609e-05
Fragile nails	Hypoglycorrhachia	5.125821869171633e-05
Horseshoe kidney	Dyscalculia	5.860695176762278e-05
Uterus didelphys	Suck reflex	4.475678658742209e-05
Hepatic calcification	Ileal ulcer	0.14151258056407312
Protrusio acetabuli	Progressive spastic paraplegia	0.07363631250764616
Pulmonic valve myxoma	Foveal atrophy	3.993272169545075e-05
Bilateral radial aplasia	Reduced circulating C-reactive protein concecntration	8.650813128311028e-05
Allergic rhinitis	Decreased osteoclast count	4.818212141725109e-05
Steppage gait	Elevated hepcidin level	5.1121044803246014e-05
Motor axonal neuropathy	Thyroid agenesis	4.94196762868381e-05
Gait imbalance	Absence of subcutaneous fat	5.310200520062155e-05
Umbilical hernia	Reduced factor VII activity	6.368481480577858e-05
Nasal mucosa telangiectasia	Internal ophthalmoplegia	4.2520165072717376e-05
Papillary thyroid carcinoma	Laryngeal calcification	4.717802693158188e-05
Leber optic atrophy	Elongated radius	4.2520165072717376e-05
Bronchiectasis	Hyperornithinemia	5.694530901968731e-05
Cervical segmentation defect	Increased renal tubular phosphate reabsorption	4.1527089114850486e-05
Hypocalciuria	Generalized neonatal hypotonia	5.2731814525986136e-05
Ovarian gonadoblastoma	Scapular winging	5.447813650210292e-05
Selective tooth agenesis	Shortening of all phalanges of fingers	5.331903917150742e-05
Laryngeal stridor	Mitochondrial hypertrophy	4.433252921306609e-05
Diffuse leukoencephalopathy	Piebaldism	4.513091349926087e-05
Enlarged lacrimal glands	Progressive cataract	4.325406564155514e-05
Expressive aphasia	Peroneal muscle atrophy	4.63062709617351e-05
Jejunal atresia	Parathyroid hyperplasia	4.9202003447767416e-05
Abnormal vertebral segmentation and fusion	Long second metacarpal	0.09253928268581664
Ambiguous genitalia, female	Increased circulating interleukin 6 concentration	5.035839919835104e-05
Metabolic ketoacidosis	Progressive pulmonary function impairment	4.2520165072717376e-05
Pugilistic facies	Orthostatic syncope	8.650813128311028e-05
Recurrent loss of toenails and fingernails	Stomach cancer	4.2520165072717376e-05
Pleuritis	Decreased methionine synthase activity	5.035839919835104e-05
Enlarged metacarpophalangeal joints	Esophoria	4.384100649655963e-05
Glenoid fossa hypoplasia	Female anorgasmia	9.093229424222477e-05
Long foot	Adrenal medullary hypoplasia	4.885073886735671e-05
Progressive choreoathetosis	Elevated circulating amyloid A	4.325406564155514e-05
Arthrogryposis multiplex congenita	Decreased serum creatinine	5.971789298997829e-05
Pseudobulbar paralysis	Low levels of vitamin D	5.360675626316975e-05
Progeroid facial appearance	Chronic myelogenous leukemia	5.000878978756325e-05
Progressive hypotrichosis	Impaired lymphocyte transformation with phytohemagglutinin	4.818212141725109e-05
Osteoarthritis of the distal interphalangeal joint	Enlarged lacrimal glands	3.993272169545075e-05
Accelerated bone age after puberty	Fundus albipunctatus	4.1527089114850486e-05
Dislocated wrist	Pulmonary artery aneurysm	4.433252921306609e-05
Few cafe-au-lait spots	Decreased circulating free T3	4.754448578692532e-05
Hypertensive retinopathy	Agenesis of permanent teeth	5.145602326461534e-05
Fibular aplasia	Medullary nephrocalcinosis	5.510074585337536e-05
Increased number of skin folds	Acral blistering	0.18261828996492038
Glossoptosis	Diabetic ketoacidosis	5.3801943908288434e-05
Congenital, generalized hypertrichosis	Positive Phalen test	4.384100649655963e-05
Dandy-Walker malformation	Cervical C2/C3 vertebral fusion	0.18393112305978757
Glandular hypospadias	Congenital generalized lipodystrophy	4.384100649655963e-05
Linear hyperpigmentation	Granular corneal dystrophy	4.1527089114850486e-05
Esophageal varix	Type IV atherosclerotic lesion	4.803278487698834e-05
Macrovesicular hepatic steatosis	Cholesteatoma	5.292067144038486e-05
Longitudinal vaginal septum	Decreased heart rate variability	4.433252921306609e-05
Nasal congestion	Shortening of all middle phalanges of the fingers	5.18262354732069e-05
Short nose	Malaise	5.708654660760347e-05
Acute kidney injury	Abnormality of the sphenoid sinus	0.00011156653281398589
Macronodular adrenal hyperplasia	Hip joint hypermobility	8.650813128311028e-05
Hereditary nonpolyposis colorectal carcinoma	Mixed demyelinating and axonal polyneuropathy	4.433252921306609e-05
Late-onset proximal muscle weakness	Enlarged proximal interphalangeal joints	0.06552302627057198
Areas of hypopigmentation and hyperpigmentation that do not follow Blaschko lines	Myelofibrosis	4.5466147121112386e-05
Absence of intrinsic factor	Metatarsus valgus	4.1527089114850486e-05
Weak extraocular muscles	Female external genitalia in individual with 46,XY karyotype	4.325406564155514e-05
Migraine without aura	Occipital encephalocele	0.09075884628569242
Penoscrotal hypospadias	Recurrent bronchopulmonary infections	5.139110160925746e-05
Inferior cerebellar vermis hypoplasia	Increased hemoglobin concentration	0.0001072135125263395
Decreased adenosylcobalamin	Limb fasciculations	4.63062709617351e-05
Long neck	Hyperechogenic pancreas	4.885073886735671e-05
Albinism	Low pulse pressure	0.0001257947151053069
Oligomenorrhea	Precocious puberty in males	4.8971417820076086e-05
Propionyl-CoA carboxylase deficiency	Exostosis of the external auditory canal	4.433252921306609e-05
Blue cone monochromacy	Increased circulating interleukin 6 concentration	4.433252921306609e-05
Acute otitis media	Cerebral cortical neurodegeneration	7.98654433909015e-05
Hypoplasia of facial musculature	Frontal cortical atrophy	4.433252921306609e-05
Glomus jugular tumor	Eyelid myoclonus	0.07678757993244156
