phenotype1	phenotype2	lin	cos
Telecanthus	Impaired ADP-induced platelet aggregation	6.756010244894682e-05	0.102722645
Retinal dysplasia	Very long chain fatty acid accumulation	5.319004968039924e-05	0.14382517
Intellectual disability, moderate	Shoulder girdle muscle weakness	6.660569572060984e-05	0.05829557
Multiple epiphyseal dysplasia	Intrahepatic cholestasis with episodic jaundice	4.676934355271362e-05	0.2530114
Adrenal pheochromocytoma	Paracentral scotoma	4.697961363490384e-05	0.27922356
Subependymal cysts	Overjet	4.475678658742209e-05	0.10560113
Neurogenic bladder	Congenital adrenal hyperplasia	5.216739542997225e-05	0.19520856
Biliary cirrhosis	Laryngeal web	5.200013425095543e-05	0.22776033
Hypogonadotropic hypogonadism	Generalized arterial tortuosity	5.527319809339079e-05	0.184342
Generalized papillary lesions	Fibular bowing	4.577027209409902e-05	0.15315181
Phonophobia	Chronic constipation	6.498209592803397e-05	0.08396689
Periodic hyperkalemic paralysis	Gonadotropin deficiency	0.0733347096389262	0.29395056
Talipes valgus	Irregular astigmatism	0.0001037699496293	0.2165358
Excessive daytime somnolence	Cerebral vasculitis	0.0797058213276678	0.109637484
Hypersplenism	Factor X activation deficiency	4.5130913499260864e-05	0.09259885
Facial erythema	Pyriform aperture stenosis	4.577027209409902e-05	0.19568247
Distal tibial bowing	Macronodular cirrhosis	4.325406564155514e-05	0.06256798
Subperiosteal bone resorption	Conical incisor	4.846394887683536e-05	0.16360058
Easy fatigability	Reduced sperm motility	6.669435530370717e-05	-0.023230644
Torsion dystonia	Gallbladder dysfunction	4.546614712111239e-05	0.21573763
Aortic regurgitation	Increased radioactive iodine uptake	0.0001381043439287	0.0598587
Adrenocortical carcinoma	Dislocation of toes	4.325406564155514e-05	0.13286291
Loss of voice	Folate-unresponsive megaloblastic anemia	4.325406564155514e-05	0.10477949
Decreased serum complement factor B	Deep dermatophytosis	0.2220549181423418	0.04871592
Infantile encephalopathy	Macular dots	4.433252921306609e-05	0.19484194
Restrictive ventilatory defect	Susceptibility to chickenpox	5.090654173363546e-05	0.23028159
Postaxial polydactyly type A	Target cells	4.2520165072717376e-05	0.025767978
Propionyl-CoA carboxylase deficiency	Concentric hypertrophic cardiomyopathy	4.754448578692532e-05	0.3305093
Short lower limbs	Anterior subcapsular cataract	4.754448578692532e-05	0.0017833816
Aortic root aneurysm	Adrenocorticotropic hormone excess	5.125821869171633e-05	0.35818058
Equinus calcaneus	Absent malleus	4.1527089114850486e-05	0.18304965
Absent hand	Subcortical white matter calcifications	0.0833947796445184	-0.05059129
Hypoplasia of olfactory tract	Increased circulating free T4 concentration	4.433252921306609e-05	0.09065879
Intellectual disability, profound	Salmonella osteomyelitis	5.527319809339079e-05	0.043951042
Hyperphosphaturia	Reduced amygdala volume	4.697961363490384e-05	0.1820038
Alzheimer disease	Poor fine motor coordination	0.0839930590473958	-0.00959101
Bell-shaped thorax	Histiocytoma	5.164509580017892e-05	0.13673498
Cystoid macular degeneration	Visual acuity light perception with projection	0.2272802460206048	0.29580098
Recurrent paroxysmal headache	Hypoplasia of the fallopian tube	4.546614712111239e-05	0.14860336
Progressive external ophthalmoplegia	Cold-induced sweating	4.818212141725109e-05	0.06932332
Tongue telangiectasia	Fibular aplasia	5.08325315417379e-05	0.14874904
Juvenile gastrointestinal polyposis	Subcutaneous spheroids	4.1527089114850486e-05	0.15366754
Constrictive pericarditis	Anhidrotic ectodermal dysplasia	4.433252921306609e-05	0.15607855
Cutaneous anergy	Small cerebellar cortex	9.964387059618608e-05	0.10336251
Fatal liver failure in infancy	Broad femoral head	7.98654433909015e-05	0.071439095
Malformation of the hepatic ductal plate	Upper eyelid edema	4.803278487698834e-05	0.12373388
Peripheral pulmonary vessel aplasia	Transitional cell carcinoma of the bladder	4.384100649655963e-05	0.18387687
Primary congenital glaucoma	Exercise-induced muscle fatigue	4.2520165072717376e-05	0.1473338
Oligomenorrhea	Stiff neck	5.035839919835104e-05	0.11650151
Irregularity of vertebral bodies	Anhydramnios	4.2520165072717376e-05	0.26971686
Episodic hemolytic anemia	Hepatocellular adenoma	4.1527089114850486e-05	0.28936902
Diffuse reticular or finely nodular infiltrations	Glomus jugular tumor	4.513091349926087e-05	0.25306925
Coronary artery calcification	Thyroglossal cyst	9.435605386316376e-05	0.25220373
Abnormal amplitude of pattern reversal visual evoked potentials	Arterial fibromuscular dysplasia	4.433252921306609e-05	0.25808787
Chronic bronchitis	Chylopericardium	0.0001214546408265	0.45390263
Recurrent thromboembolism	Amegakaryocytic thrombocytopenia	0.2269012374256672	0.4989893
Positive Romberg sign	Right atrial isomerism	5.060226372522096e-05	0.30842656
Anterior concavity of thoracic vertebrae	Cleft of alveolar ridge of maxilla	4.433252921306609e-05	0.28977376
Polyphagia	Decreased size of nerve terminals	0.0834024288708627	0.09109484
Progressive flexion contractures	Symmetrical progressive peripheral demyelination	4.1527089114850486e-05	0.38785672
Patellar hypoplasia	Congenital agranulocytosis	4.846394887683536e-05	0.22118649
Posterior polar cataract	Rhombencephalosynapsis	4.717802693158188e-05	0.17396559
Wide mouth	Congenital hemolytic anemia	5.570606467884453e-05	0.13091774
Lobulated tongue	Bowing of the vocal cords	4.8726132196001617e-05	0.32455683
Broad face	Decreased helper T cell proportion	4.94196762868381e-05	-0.08973926
Bilateral tonic-clonic seizure on awakening	Elevated fecal sodium	4.2520165072717376e-05	0.20557323
Rectoperineal fistula	Trichodiscoma	4.2520165072717376e-05	0.20583455
Colon cancer	Pancreatic calcification	0.1716071888382361	0.3482542
Protein avoidance	Follicular hyperplasia	5.060226372522096e-05	0.12474994
Reduced factor XI activity	Hidrotic ectodermal dysplasia	4.952414116553883e-05	0.16312763
Congenital hypertrophy of left ventricle	Severe photosensitivity	3.993272169545075e-05	0.13968587
Basal ganglia gliosis	Decreased plasma total carnitine	4.325406564155514e-05	0.19999675
Cervical cord compression	Elevated serum transaminases during infections	4.577027209409902e-05	0.15661448
Glenoid fossa hypoplasia	Chronic lymphocytic meningitis	4.2520165072717376e-05	0.16792968
Increased cellular sensitivity to UV light	Recurrent meningococcal disease	4.982193529809303e-05	0.1059785
Decreased activity of the pyruvate dehydrogenase complex	Submucous cleft lip	4.5130913499260864e-05	0.19107965
Spontaneous, recurrent epistaxis	Hyperkeratosis with erythema	4.5130913499260864e-05	0.19357304
Lack of insight	Increased erythrocyte protoporphyrin concentration	4.2520165072717376e-05	0.026851395
Bacterial endocarditis	Absent vas deferens	4.2520165072717376e-05	0.14791745
Recurrent otitis media	Recurrent sinusitis	0.5572272146137588	0.6745942
Bilateral microphthalmos	Profound sensorineural hearing impairment	5.258480685017681e-05	0.19912073
Impaired memory B cell generation	Salt craving	4.433252921306609e-05	0.013473203
Esophageal varix	Hurthle cell thyroid adenoma	4.803278487698834e-05	0.19052126
Reduced factor XII activity	Severe recurrent varicella	4.63062709617351e-05	0.22801636
Cranium bifidum occultum	Abnormal hyoid bone morphology	0.1927753807469898	0.39064324
Absent frontal sinuses	Elevated plasma pyrophosphate	4.846394887683536e-05	-0.03508499
Secondary amenorrhea	Impaired memory B cell generation	5.068044793030368e-05	0.18766627
Microretrognathia	4-layered lissencephaly	5.145602326461534e-05	0.18120962
Generalized osteosclerosis	Lobar holoprosencephaly	4.63062709617351e-05	0.2510467
Juvenile rheumatoid arthritis	Persistent EBV viremia	4.952414116553883e-05	0.0382035
Coxa vara	Adult onset sensorineural hearing impairment	5.694530901968731e-05	0.027646039
Hashimoto thyroiditis	Increased red blood cell mass	5.08325315417379e-05	0.092658386
Diffuse axonal swelling	Glomerular subepithelial deposits	4.697961363490384e-05	0.37202
Nonspherocytic hemolytic anemia	Drooling	6.128292028884455e-05	0.031024626
Diaphyseal thickening	Ileal ulcer	4.325406564155514e-05	0.29938832
Pancreatic adenocarcinoma	Ocular melanocytosis	9.719461910870474e-05	0.20453763
Testicular gonadoblastoma	Paradoxical respiration	7.98654433909015e-05	0.13907151
Decreased size of nerve terminals	Lateral ventricular asymmetry	0.1208525529469297	0.22142749
Atrophic gastritis	Enlarged peripheral nerve	4.475678658742209e-05	0.18552248
Peroneal muscle atrophy	Increased endomysial connective tissue	0.2369722660245133	0.32659844
Normocytic anemia	Oromandibular dystonia	5.292067144038486e-05	0.094070986
Occipital myelomeningocele	Neoplasm of the scrotum	7.98654433909015e-05	0.19022518
Thin skin	Duodenal adenocarcinoma	5.595899601954029e-05	0.07364883
Pulmonary valve defects	Lupus anticoagulant	4.2520165072717376e-05	0.21598573
Tortuous cerebral arteries	Cervicitis	9.435605386316376e-05	0.19969477
Cardiorespiratory arrest	Dysuria	4.697961363490384e-05	0.08350157
Premature occlusive vascular stenosis	Absence of secondary sex characteristics	3.993272169545075e-05	0.14311647
Small placenta	Hypoplasia of the cochlea	4.513091349926087e-05	0.3536205
Severe recurrent varicella	Elevated serum anion gap	4.433252921306609e-05	0.08464
Laryngeal web	Thin zona pellucida	4.433252921306609e-05	0.19594058
Transient ischemic attack	Glomerular subendothelial electron-dense deposits	4.6048912897620735e-05	0.23377469
Peripheral cystoid retinal degeneration	Cystoid macular edema	0.3132148010802559	0.694427
Rectal abscess	Mild conductive hearing impairment	0.0001037699496293	0.10594786
Foot osteomyelitis	Hypoplasia of the ear cartilage	4.2520165072717376e-05	0.25793698
Atheroeruptive xanthoma	Nephroblastoma	5.1121044803246014e-05	0.19312826
Orofacial dyskinesia	Iris transillumination defect	5.344453059754979e-05	0.19873962
Coarse hair	Decreased helper T cell proportion	5.243282297039292e-05	0.24350506
Impaired gluconeogenesis	Inlet ventricular septal defect	4.433252921306609e-05	0.18110552
Thick corpus callosum	Short first metatarsal	5.232854831112207e-05	0.033225443
Congenital exfoliative erythroderma	Low levels of vitamin D	4.577027209409902e-05	0.21846448
Pulmonary arteriovenous malformation	Renal cortical adenoma	4.384100649655963e-05	0.25339776
Bilateral elbow dislocations	Smooth tongue	4.325406564155514e-05	-0.09387146
Limited neck flexion	Abnormality of central somatosensory evoked potentials	4.325406564155514e-05	0.19694595
Palmoplantar keratoderma	Acute rhabdomyolysis	5.543990558251901e-05	0.10985711
Apneic episodes in infancy	Pulmonary arteriovenous malformation	0.2382213127195696	0.3012888
Sudden episodic apnea	Pallidal degeneration	4.1527089114850486e-05	0.2531207
Atypical nevus	Irregularity of vertebral bodies	4.1527089114850486e-05	0.23571917
Multiple pterygia	Papillary renal cell carcinoma type 2	9.719461910870474e-05	0.26480377
Autoimmune thrombocytopenia	Central nervous system degeneration	5.151997576365433e-05	0.21536848
Lack of spontaneous play	EBV meningitis	4.63062709617351e-05	0.17504716
Cataplexy	Reduced amygdala volume	0.0707656380397445	0.17278224
Temporal hypotrichosis	Elevated serum transaminases during infections	4.1527089114850486e-05	0.13475293
Hypoplastic left atrium	Fixed facial expression	4.1527089114850486e-05	0.03724138
Diastasis recti	Portal inflammation	0.183341815766776	0.17959964
Generalized anhidrosis	Anuria	4.5130913499260864e-05	0.4002403
Progressive spastic paraplegia	Middle cerebral artery stenosis	0.0666719633533539	0.32886335
Recurrent Serratia marcescens infections	Shortening of all phalanges of fingers	4.63062709617351e-05	0.090664685
Decreased sensory nerve conduction velocity	Prolonged QRS complex	5.434348495495776e-05	0.05240431
Anodontia	Hypertensive crisis	4.63062709617351e-05	0.11247353
Xanthine nephrolithiasis	Intermittent jaundice	4.63062709617351e-05	0.32730913
Pulmonary lymphangiectasia	Absent circulating B cells	0.2236559300747135	0.24686214
Gonadal tissue inappropriate for external genitalia or chromosomal sex	Frontal cortical atrophy	4.433252921306609e-05	0.14666824
Diffuse telangiectasia	Renotubular dysgenesis	4.1527089114850486e-05	0.27030578
Fasting hypoglycemia	Paroxysmal nocturnal hemoglobinuria	0.1674181810307189	0.36178216
Centrocecal scotoma	Increased insulin like growth factor binding protein acid labile subunit concentration	4.2520165072717376e-05	0.08280298
Sclerocornea	Esophageal stricture	5.518771718191311e-05	0.17520879
Narrow nasal ridge	Genu recurvatum	6.071674252912948e-05	0.19274215
Hypermethioninemia	Ocular melanocytosis	0.0001037699496293	0.40564346
Lateral femoral bowing	Prolonged prothrombin time	5.34445305975498e-05	0.16716939
Bifid ribs	Pyoderma	4.7877152157943535e-05	0.18478459
Muscle mounding	Abdominal colic	4.433252921306609e-05	0.19436537
Restrictive cardiomyopathy	BCGosis	5.052257145344946e-05	0.17501473
Easy fatigability	Double outlet left ventricle	5.018735786356822e-05	0.058247983
Tritanomaly	Unilateral conductive hearing impairment	4.5130913499260864e-05	0.14798959
Sparse body hair	Multiple joint contractures	5.793301368545958e-05	0.056412704
Acral ulceration	Increased level of L-glutamic acid in blood	4.5130913499260864e-05	0.21049753
Hypoplasia of the nasal bone	Enlarged pituitary gland	8.650813128311028e-05	0.14972521
Restrictive cardiomyopathy	Increased carrying angle	4.952414116553883e-05	0.10355675
Restricted large joint movement	Progressive choreoathetosis	4.1527089114850486e-05	0.26338273
Leber optic atrophy	Episodic metabolic acidosis	4.697961363490384e-05	0.21088594
Anterior vertebral fusion	Cardiac total anomalous pulmonary venous connection	3.993272169545075e-05	0.3835461
Reduced glutathione synthetase level	Antenatal intracerebral hemorrhage	4.1527089114850486e-05	0.15454313
Ulnar bowing	Iris transillumination defect	5.434348495495776e-05	0.076814935
Hypoplastic left atrium	Optic atrophy from cranial nerve compression	4.1527089114850486e-05	0.21991515
Bradykinesia	Necrotizing myopathy	5.24840599429044e-05	0.20205669
Dysplastic aortic valve	Retroperitoneal fibrosis	4.513091349926087e-05	0.2875293
Palpitations	Supravalvular aortic stenosis	0.3232185399049275	0.31044072
Congenital agranulocytosis	Lip fissure	8.650813128311028e-05	0.13592097
Reduced coagulation factor V activity	Stiff elbow	4.384100649655963e-05	0.15625797
Centrocecal scotoma	Impaired lymphocyte transformation with phytohemagglutinin	4.952414116553883e-05	0.19406298
Microangiopathic hemolytic anemia	Premature loss of primary teeth	4.94196762868381e-05	0.065478854
Cervical instability	Abnormality of peripheral somatosensory evoked potentials	9.093229424222476e-05	0.16461286
Congenital megaureter	Osteopoikilosis	4.1527089114850486e-05	0.31688398
Late-onset distal muscle weakness	Menometrorrhagia	9.093229424222476e-05	0.11330251
Gastroesophageal reflux	Myocardial calcification	5.67791838122088e-05	0.18668975
Acute rhabdomyolysis	Peripapillary atrophy	4.885073886735671e-05	0.26834545
Allergic rhinitis	Autonomic bladder dysfunction	4.6048912897620735e-05	0.26022464
Perifollicular hyperkeratosis	Unilateral cleft palate	4.384100649655963e-05	0.13375255
Large central visual field defect	Globozoospermia	9.964387059618608e-05	0.16496968
Poikiloderma	Biceps aplasia	4.771461865001634e-05	0.26199818
Precocious atherosclerosis	Hyperprolinemia	4.9202003447767416e-05	0.2993035
Severe periodontitis	Prominent sternum	4.952414116553883e-05	0.28309944
Hyperkalemia	Pili torti	5.758097422370349e-05	0.010642807
Progressive pulmonary function impairment	Salt craving	4.2520165072717376e-05	0.0725777
Babinski sign	Cerebellar hemangioblastoma	0.0902874341321984	0.09842595
Long clavicles	Profound global developmental delay	6.026650283912218e-05	0.08392497
Methylmalonic acidemia	Hip osteoarthritis	5.527319809339079e-05	0.19878237
Lattice corneal dystrophy	Dorsal subluxation of ulna	4.384100649655963e-05	0.14767449
Progressive macrocephaly	Pulmonary pneumatocele	4.433252921306609e-05	0.29748482
Neonatal alloimmune thrombocytopenia	Retinal calcification	8.650813128311028e-05	0.118446566
Short fourth metatarsal	Anterior wedging of T12	0.1085816852946664	0.11938752
Hyperinsulinemic hypoglycemia	Abnormal vertebral segmentation and fusion	4.846394887683536e-05	0.23929551
Failure of eruption of permanent teeth	Cardiorespiratory arrest	4.697961363490384e-05	0.23599294
Right ventricular failure	Episodic hemolytic anemia	4.325406564155514e-05	0.27259487
EMG: myopathic abnormalities	Vanishing testis	5.060226372522096e-05	0.08483424
Multiple mitochondrial DNA deletions	Hemothorax	4.982193529809303e-05	0.09896499
Gingival overgrowth	Increased serum serotonin	6.049028558989189e-05	0.14007145
Duodenal adenocarcinoma	Posterior pituitary agenesis	9.435605386316376e-05	0.31749642
Iritis	Ethmoidal encephalocele	4.325406564155514e-05	0.140109
Gonadal hypoplasia	Ecchymosis	4.771461865001634e-05	0.1696971
Ulnar deviation of the wrist	Episodic metabolic acidosis	5.0979265990792815e-05	0.2102449
Caudal appendage	Propionyl-CoA carboxylase deficiency	4.513091349926087e-05	0.34919283
Hyperprolinemia	Decerebrate rigidity	4.577027209409902e-05	0.085425556
Testicular dysgenesis	Elevated carcinoembryonic antigen level	9.093229424222476e-05	0.22438285
Primary hypothyroidism	Abnormal response to human chorionic gonadotrophin stimulation test	0.5896587108401806	0.3859537
Joint hemorrhage	Liver abscess	5.319004968039924e-05	0.30729458
Crystalline corneal dystrophy	Elevated brain N-acetyl aspartate level by MRS	4.2520165072717376e-05	0.07767477
Enlargement of the wrists	Elevated serum acid phosphatase	4.9202003447767416e-05	0.21278533
Lack of insight	Upper limb postural tremor	0.0852935874942501	0.14569741
Increased circulating renin level	Leukonychia	5.543990558251901e-05	0.03049079
Caudal appendage	Visual agnosia	4.325406564155514e-05	0.11910447
Recurrent patellar dislocation	Primary hyperparathyroidism	4.972512993112043e-05	0.3065452
Protein-losing enteropathy	Recurrent viral upper respiratory tract infections	5.1884974814677736e-05	0.19750154
Mastoiditis	Facial myokymia	0.1115222912443361	0.3525025
Enlarged vertebral pedicles	Congenital bilateral hip dislocation	0.088986382146103	0.31642944
Corneal arcus	Decreased 3-hydroxyacyl-CoA dehydrogenase level	4.846394887683536e-05	0.14823695
Poor eye contact	Increased arm span	5.467335855409396e-05	-0.04097423
Urinary bladder sphincter dysfunction	Hemothorax	5.145602326461534e-05	0.11293566
Difficulty walking	Low-frequency sensorineural hearing impairment	5.682120377924373e-05	0.24819632
Increased proportion of HLA DR+ T cells	Multifocal seizures	4.8971417820076086e-05	0.14518881
Photophobia	Cervical cord compression	0.0986353624744254	0.10121645
Enlarged cisterna magna	Encephalomalacia	5.575766213599954e-05	0.3580771
Antegonial notching of mandible	Malar prominence	0.2384565888749642	0.48382452
Lobulated tongue	Stage 1 chronic kidney disease	4.8726132196001617e-05	0.067826636
Progressive peripheral neuropathy	Hypoglycosylation of alpha-dystroglycan	4.577027209409902e-05	0.28858528
Anemic pallor	Elevated creatine kinase after exercise	9.719461910870474e-05	0.16786127
Accumulation of melanosomes in melanocytes	Schizophrenia	5.145602326461534e-05	0.15631895
Distal peripheral sensory neuropathy	Cerebellar cortical atrophy	0.0651148122050277	0.37999684
Lumbar kyphoscoliosis	Helicobacter pylori infection	4.325406564155514e-05	0.16137896
Generalized amyloid deposition	Folate-unresponsive megaloblastic anemia	4.2520165072717376e-05	0.24926455
Hypertelorism	Episodic hemolytic anemia	6.645254075187589e-05	0.31101272
Vestibular areflexia	Pharyngalgia	4.577027209409902e-05	0.2879188
Pyloric stenosis	Absence of secondary sex characteristics	5.027377610626894e-05	0.055417098
Difficulty walking	Blue nevus	5.86969853423628e-05	0.09562361
Increased number of skin folds	Hyperapobetalipoproteinemia	3.993272169545075e-05	0.25739226
Respiratory paralysis	Compensated hemolytic anemia	4.513091349926087e-05	0.20754144
Annular pancreas	Congenital foot contractures	4.787715215794353e-05	0.1346706
Macrovesicular hepatic steatosis	Progressive inspiratory stridor	4.63062709617351e-05	0.25155964
Chronic lactic acidosis	Few cafe-au-lait spots	4.754448578692532e-05	0.14698894
Extraadrenal pheochromocytoma	Type C brachydactyly	9.093229424222476e-05	0.15354133
Rimmed vacuoles	Intraretinal exudate	4.972512993112043e-05	0.3531726
Nocturia	Helicobacter pylori infection	4.513091349926087e-05	0.1826857
Parathyroid hypoplasia	Neonatal hypoglycemia	5.035839919835104e-05	0.40959778
Hypochromic microcytic anemia	Tricuspid stenosis	5.292067144038485e-05	0.16220401
Multiple epiphyseal dysplasia	Type 1 muscle fiber atrophy	0.0709919664230673	0.1758875
Anteverted nares	Precocious atherosclerosis	6.501539260967394e-05	0.21063793
Narrow face	Blue cone monochromacy	5.105075200522169e-05	0.20212628
Full cheeks	Hepatosplenomegaly	7.760572256831814e-05	0.15637144
Short nasal bridge	Hip flexor weakness	8.650813128311028e-05	0.12946713
Episodic flaccid weakness	Oral motor hypotonia	0.1478845809539535	0.43490726
Nonspherocytic hemolytic anemia	Limited elbow flexion/extension	4.676934355271362e-05	0.28162763
Spinal arteriovenous malformation	Heinz body anemia	4.2520165072717376e-05	0.25967166
Short umbilical cord	Accelerated atherosclerosis	4.577027209409902e-05	0.08668709
Horizontal sacrum	Cerebral hypomyelination	5.164509580017892e-05	-0.06937939
Parathyroid agenesis	Cochlear aplasia	4.1527089114850486e-05	0.38569248
Gastroparesis	Episodic respiratory distress	0.0001115665328139	0.33933493
Hypoplasia of olfactory tract	Mandibular condyle hypoplasia	4.1527089114850486e-05	0.44998172
Respiratory failure	Absence of alpha granules	5.287418884943918e-05	0.18036593
Difficulty standing	Female external genitalia in individual with 46,XY karyotype	4.717802693158188e-05	0.14831635
Congenital palmoplantar hyperkeratosis	Gastric adenocarcinoma	4.433252921306609e-05	0.18422498
Phthisis bulbi	Reduced number of intrahepatic bile ducts	4.5130913499260864e-05	0.25603732
Anterior radial head dislocation	Congenital palmoplantar hyperkeratosis	0.1807013059557956	0.19640565
Premature occlusive vascular stenosis	Congenital nonbullous ichthyosiform erythroderma	4.818212141725109e-05	0.26999095
Posterior rib fusion	Absent fetal nasal bone	0.0947522607382722	0.23205847
Hypnopompic hallucinations	Malformed lacrimal duct	3.993272169545075e-05	0.18816781
Anhidrosis	Tibial pseudarthrosis	4.8726132196001617e-05	0.18622
Prominent nipples	Pulmonary lymphangiectasia	4.63062709617351e-05	0.098024674
Congenital agranulocytosis	Increased radioactive iodine uptake	8.650813128311028e-05	0.14426099
High forehead	3-Methylglutaconic aciduria	7.274214343345449e-05	0.048946016
Lower limb hypertonia	Anti-myeloperoxidase antibody positivity	4.676934355271362e-05	0.1959459
Thoracolumbar kyphoscoliosis	Malaligned carpal bone	0.0976956338595143	0.34469107
Cutaneous anergy	Mixed respiratory and metabolic acidosis	0.1519336569605572	0.30225396
Peripheral nerve compression	Parachute mitral valve	4.325406564155514e-05	0.105413735
Long clavicles	Poor wound healing	5.66941319881255e-05	0.045002863
Slowed horizontal saccades	Elevated coagulation factor V activity	3.993272169545075e-05	0.037861478
Recurrent Burkholderia cepacia infections	Rib segmentation abnormalities	4.513091349926087e-05	0.21192092
Brain stem compression	Congenital knee dislocation	4.1527089114850486e-05	0.20463073
Impaired ocular abduction	Adducted thumb	5.651980813194554e-05	0.2370644
Progressive truncal ataxia	Autonomic erectile dysfunction	0.0626148311730584	0.26909795
Decreased T cell activation	Severe temper tantrums	4.982193529809303e-05	0.05729069
Decreased sensitivity to hypoxemia	Type 1 muscle fiber atrophy	4.2520165072717376e-05	0.24887224
Renal cortical microcysts	Decreased serum complement factor B	4.754448578692532e-05	0.22308254
Hyperuricosuria	Acute monocytic leukemia	4.697961363490384e-05	0.19897154
Unexplained fevers	Cervical kyphosis	4.846394887683536e-05	0.100260735
Long hallux	Increased factor IX activity	4.7365940235228194e-05	0.057504676
Parathyroid agenesis	Crescentic glomerulonephritis	3.993272169545075e-05	0.13992058
Shoulder flexion contracture	Low levels of vitamin E	4.94196762868381e-05	0.11696653
Atrophic gastritis	Dark choroid	4.475678658742209e-05	0.15282823
Webbed neck	Acute myeloid leukemia	6.696279404931881e-05	0.19664332
Mask-like facies	Congenital blindness	5.4544084512378e-05	0.044528324
Laryngeal hypoplasia	Unilateral vocal cord paresis	4.475678658742209e-05	0.4306589
Elevated maternal serum alpha-fetoprotein	Hypermanganesemia	0.2483156522086982	0.25290057
Asymptomatic hyperammonemia	Precocious puberty in males	4.1527089114850486e-05	0.15685871
Increased VLDL cholesterol concentration	Sagittal craniosynostosis	5.595899601954029e-05	0.07302751
Benign gastrointestinal tract tumors	Deep cerebral white matter hyperintensities	7.98654433909015e-05	0.14131254
Hyperhomocystinemia	Thin zona pellucida	4.6048912897620735e-05	0.060768615
Pulmonary artery sling	Absent forearm	4.433252921306609e-05	0.12217777
Supranuclear ophthalmoplegia	Subungual hyperkeratosis	4.846394887683536e-05	0.23201752
Marginal corneal dystrophy	Iliac arterial calcification	3.993272169545075e-05	0.17166632
Lattice corneal dystrophy	Phalangeal dislocation	4.697961363490384e-05	0.2393738
Rickets of the lower limbs	Seesaw nystagmus	7.98654433909015e-05	0.17443177
Median cleft lip	Respiratory alkalosis	5.483028802092396e-05	0.17213224
Recurrent patellar dislocation	Sterile arthritis	0.2509928503854666	0.19040075
Craniofacial disproportion	Eruptive vellus hair cyst	8.650813128311028e-05	0.18664159
Neuronal loss in the cerebral cortex	Episcleritis	4.433252921306609e-05	0.2141735
Increased mean corpuscular volume	Upper limb spasticity	5.733939378080981e-05	0.26538473
Renal corticomedullary cysts	Agenesis of incisor	5.498236436259655e-05	0.14229707
Hand tremor	Tapered toe	5.035839919835104e-05	0.44758272
Galactose intolerance	Laryngeal stridor	4.2520165072717376e-05	0.23816791
Bilateral camptodactyly	Optic nerve misrouting	4.2520165072717376e-05	0.23156743
Secondary amenorrhea	Polydipsia	6.18288604522687e-05	0.25061923
Hypothalamic hamartoma	Gallbladder dysfunction	4.5130913499260864e-05	0.22697183
Hypernatremic dehydration	Increased circulating interleukin 10 concentration	4.1527089114850486e-05	0.14048366
Hypotelorism	Plexiform neurofibroma	6.109654304671778e-05	0.12504596
Diastasis recti	Hypoglycorrhachia	5.18262354732069e-05	0.22319764
Renal hypophosphatemia	Myocarditis	4.1527089114850486e-05	0.124049105
Ulnar deviation of the wrist	Humoral immunodeficiency	0.0001072135125263	0.17050432
Acute myeloid leukemia	Increased glucagon level	4.7365940235228194e-05	0.11680632
Premature birth following premature rupture of fetal membranes	Anuria	4.5130913499260864e-05	0.09112723
Symmetrical progressive peripheral demyelination	Thick nasal septum	3.993272169545075e-05	0.07630982
Pugilistic facies	Peripheral retinal atrophy	4.513091349926087e-05	0.17323129
Primary hypothyroidism	Laryngeal hypoplasia	4.897141782007609e-05	0.42684868
Pulmonary artery hypoplasia	Chronic myelogenous leukemia	4.577027209409902e-05	0.27259463
Cleft vertebral arch	Duodenal adenocarcinoma	4.325406564155514e-05	0.23304833
Mild postnatal growth retardation	Lymphocytic interstitial pneumonia	4.754448578692532e-05	0.207442
Malignant eosinophil proliferation	Choriocarcinoma	0.306291656651915	0.1784691
Myofibrillar myopathy	Brain abscess	4.803278487698834e-05	0.15106338
Multiple gastric polyps	Distal ileal atresia	0.3168640903096957	0.16211838
Multiple pancreatic beta-cell adenomas	Low-output congestive heart failure	7.98654433909015e-05	0.12689173
Renal potassium wasting	Onychogryposis of toenails	4.9202003447767416e-05	0.24250335
Hyperactive renin-angiotensin system	Happy demeanor	5.319004968039924e-05	0.1352638
Absent distal phalanges	Asthenia	5.08325315417379e-05	0.27080777
Absent vestibular function	Chromosomal breakage induced by ionizing radiation	3.993272169545075e-05	0.14977884
Increased serum serotonin	Renal cortical microcysts	5.035839919835104e-05	0.07608571
Absent speech	Elevated plasma branched chain amino acids	5.868207813992507e-05	-0.06979793
Auditory hallucinations	Hyperplasia of the Leydig cells	0.0001018130834672	0.20669957
Uterine leiomyoma	Sinus bradycardia	5.232854831112207e-05	-0.020794319
Hypercalciuria	Decreased CSF albumin concentration	0.1710705205448329	0.20851813
Chiari type I malformation	Absent malleus	4.94196762868381e-05	0.10723956
Torsade de pointes	Recurrent Aspergillus infections	5.112104480324602e-05	0.024389595
Polydipsia	Generalized clonic seizure	0.1025661329739705	0.24212213
Elevated circulating growth hormone concentration	Progressive hyperpigmentation	4.5130913499260864e-05	0.42746347
Apneic episodes in infancy	Proximal femoral epiphysiolysis	5.08325315417379e-05	0.22242253
Iridocyclitis	Cutaneous leiomyoma	4.546614712111239e-05	0.20295617
